,Energy,Torsion 0,Torsion 1,Torsion 2,Torsion 3,Torsion 4,Torsion 5,Torsion 6,Torsion 7
106,36.31557044930566,90.0,120.0,60.0,180.0,270.0,270.0,180.0,270.0
99,36.31641514464131,90.0,120.0,120.0,180.0,270.0,270.0,180.0,270.0
43,36.323588000113354,90.0,120.0,300.0,210.0,270.0,270.0,180.0,270.0
147,36.323588001778376,90.0,120.0,300.0,210.0,270.0,270.0,180.0,270.0
146,36.324334790025716,90.0,120.0,180.0,180.0,270.0,270.0,180.0,270.0
101,36.32794050454618,90.0,120.0,90.0,60.0,270.0,270.0,180.0,270.0
117,36.33459937820239,90.0,120.0,210.0,60.0,270.0,270.0,180.0,270.0
119,36.33496678623378,90.0,120.0,0.0,210.0,270.0,270.0,180.0,270.0
196,36.33943554462944,90.0,120.0,210.0,240.0,270.0,270.0,180.0,270.0
39,36.341655343592194,60.0,120.0,90.0,210.0,270.0,270.0,180.0,270.0
173,36.3506324728096,30.0,120.0,120.0,180.0,270.0,270.0,180.0,270.0
194,36.352341508060526,150.0,120.0,90.0,180.0,270.0,270.0,180.0,270.0
48,36.35280810678027,150.0,120.0,120.0,180.0,270.0,270.0,180.0,270.0
156,36.35323074759606,30.0,120.0,150.0,180.0,270.0,270.0,180.0,270.0
1,36.35323074895767,30.0,120.0,150.0,180.0,270.0,270.0,180.0,270.0
170,36.35457154625335,0.0,120.0,270.0,180.0,270.0,270.0,180.0,270.0
35,36.355381708029924,60.0,120.0,60.0,270.0,270.0,270.0,180.0,270.0
84,36.35632115635759,0.0,120.0,120.0,180.0,270.0,270.0,180.0,270.0
192,36.3586516485019,0.0,120.0,300.0,180.0,270.0,270.0,180.0,270.0
169,36.358651648502324,0.0,120.0,300.0,180.0,270.0,270.0,180.0,270.0
65,36.358722905012385,30.0,120.0,30.0,210.0,270.0,270.0,180.0,270.0
63,36.35987457837811,90.0,90.0,300.0,180.0,270.0,270.0,180.0,270.0
92,36.36047386184966,90.0,90.0,30.0,180.0,270.0,270.0,180.0,270.0
54,36.36480616176544,240.0,120.0,60.0,180.0,270.0,270.0,180.0,270.0
109,36.36796863824377,90.0,120.0,120.0,60.0,270.0,240.0,180.0,270.0
138,36.367981119532736,240.0,120.0,300.0,180.0,270.0,270.0,180.0,270.0
122,36.36862022936582,90.0,120.0,210.0,270.0,270.0,210.0,180.0,270.0
70,36.36904877001745,30.0,120.0,60.0,270.0,270.0,270.0,180.0,270.0
51,36.36939409656897,180.0,120.0,60.0,180.0,270.0,270.0,180.0,270.0
25,36.36939410226477,180.0,120.0,60.0,180.0,270.0,270.0,180.0,270.0
150,36.36977241777804,180.0,120.0,90.0,180.0,270.0,270.0,180.0,270.0
72,36.37023899831075,180.0,120.0,120.0,180.0,270.0,270.0,180.0,270.0
114,36.37028214379598,30.0,120.0,240.0,270.0,270.0,270.0,180.0,270.0
152,36.3725693155077,180.0,120.0,300.0,180.0,270.0,270.0,180.0,270.0
6,36.37313164970543,180.0,120.0,30.0,180.0,270.0,270.0,180.0,270.0
11,36.37608197307239,180.0,120.0,210.0,180.0,270.0,270.0,180.0,270.0
108,36.37741186569867,180.0,120.0,300.0,210.0,270.0,270.0,180.0,270.0
47,36.37920914755745,30.0,120.0,60.0,180.0,270.0,210.0,180.0,270.0
10,36.37934221100507,0.0,120.0,210.0,240.0,270.0,270.0,180.0,270.0
144,36.381192241343,180.0,120.0,60.0,60.0,270.0,270.0,180.0,270.0
133,36.38280328298656,90.0,90.0,210.0,270.0,270.0,270.0,180.0,270.0
91,36.38406773438034,240.0,120.0,60.0,270.0,270.0,270.0,180.0,270.0
76,36.388693199145095,210.0,120.0,60.0,270.0,270.0,270.0,180.0,270.0
60,36.3886931991854,210.0,120.0,60.0,270.0,270.0,270.0,180.0,270.0
164,36.389615165147234,210.0,120.0,120.0,270.0,270.0,270.0,180.0,270.0
154,36.39133026309357,30.0,90.0,90.0,180.0,270.0,270.0,180.0,270.0
198,36.39196450716177,270.0,120.0,300.0,210.0,270.0,270.0,180.0,270.0
18,36.393124194996474,240.0,120.0,90.0,180.0,270.0,210.0,180.0,270.0
24,36.39693910632099,90.0,90.0,180.0,210.0,270.0,210.0,180.0,270.0
12,36.39885329169815,210.0,120.0,60.0,180.0,270.0,210.0,180.0,270.0
34,36.41363233784259,30.0,150.0,270.0,180.0,270.0,270.0,180.0,270.0
155,36.413735903050906,210.0,90.0,300.0,180.0,270.0,270.0,180.0,270.0
143,36.41537688554853,30.0,150.0,120.0,180.0,270.0,270.0,180.0,270.0
193,36.416752344988794,180.0,120.0,180.0,180.0,270.0,240.0,180.0,270.0
172,36.4196536741682,30.0,150.0,60.0,210.0,270.0,270.0,180.0,270.0
151,36.4198910547552,150.0,150.0,300.0,180.0,270.0,270.0,180.0,270.0
45,36.42287825673776,30.0,120.0,180.0,240.0,30.0,210.0,180.0,270.0
100,36.42418146310711,210.0,90.0,180.0,210.0,270.0,270.0,180.0,270.0
153,36.42480356989577,90.0,120.0,300.0,270.0,270.0,180.0,180.0,270.0
87,36.42581572539254,90.0,150.0,120.0,210.0,270.0,240.0,180.0,270.0
149,36.42959918125311,180.0,90.0,210.0,60.0,270.0,270.0,180.0,270.0
123,36.4341999673294,180.0,120.0,180.0,240.0,270.0,240.0,180.0,270.0
186,36.43473757038956,30.0,150.0,120.0,270.0,270.0,270.0,180.0,270.0
95,36.440384697696054,60.0,120.0,60.0,270.0,270.0,180.0,180.0,270.0
104,36.44698481368698,240.0,120.0,90.0,180.0,270.0,180.0,180.0,270.0
75,36.456653527367024,120.0,180.0,0.0,180.0,270.0,270.0,180.0,270.0
88,36.46012671616142,330.0,120.0,300.0,210.0,270.0,270.0,180.0,270.0
64,36.46414790741298,30.0,150.0,60.0,180.0,30.0,90.0,180.0,270.0
77,36.48126257702506,0.0,180.0,120.0,210.0,270.0,270.0,180.0,270.0
136,36.48825183068803,30.0,120.0,120.0,30.0,270.0,270.0,180.0,270.0
46,36.490284655621224,60.0,30.0,300.0,180.0,270.0,270.0,180.0,270.0
111,36.491252272002264,300.0,120.0,270.0,180.0,270.0,270.0,180.0,270.0
23,36.50813794190685,30.0,120.0,60.0,210.0,270.0,270.0,240.0,270.0
93,36.51080644813038,90.0,120.0,120.0,180.0,270.0,270.0,150.0,270.0
177,36.511091247146375,30.0,240.0,90.0,240.0,270.0,270.0,180.0,270.0
32,36.51203544882061,90.0,120.0,120.0,210.0,270.0,150.0,180.0,270.0
81,36.518787442006726,90.0,150.0,120.0,30.0,270.0,270.0,180.0,270.0
68,36.52377781107463,90.0,0.0,330.0,240.0,270.0,270.0,180.0,270.0
61,36.54368014310617,90.0,240.0,120.0,180.0,270.0,180.0,180.0,270.0
176,36.55326547647473,180.0,120.0,330.0,30.0,270.0,240.0,180.0,270.0
28,36.55699023757986,0.0,150.0,270.0,30.0,270.0,270.0,180.0,270.0
159,36.55870610602192,30.0,0.0,30.0,270.0,270.0,270.0,180.0,270.0
195,36.56055366325765,180.0,120.0,30.0,180.0,270.0,150.0,180.0,270.0
55,36.56119217153642,30.0,120.0,240.0,150.0,270.0,270.0,180.0,270.0
179,36.564394475307694,0.0,0.0,30.0,270.0,270.0,270.0,180.0,270.0
160,36.572244114307395,180.0,60.0,180.0,180.0,270.0,270.0,180.0,270.0
118,36.584955472867065,210.0,120.0,120.0,270.0,270.0,270.0,150.0,270.0
14,36.58900388891225,60.0,60.0,90.0,270.0,270.0,240.0,180.0,270.0
135,36.59072311819571,240.0,120.0,300.0,270.0,270.0,120.0,210.0,270.0
5,36.60877729797097,180.0,60.0,210.0,180.0,270.0,240.0,180.0,270.0
56,36.61736125497223,30.0,120.0,90.0,210.0,30.0,150.0,180.0,270.0
141,36.62871771859607,30.0,120.0,60.0,210.0,240.0,210.0,180.0,270.0
96,36.6468695880623,180.0,120.0,30.0,90.0,270.0,270.0,240.0,270.0
15,36.648776544847514,150.0,90.0,90.0,180.0,270.0,150.0,180.0,270.0
175,36.666760827769025,90.0,30.0,120.0,60.0,270.0,150.0,180.0,270.0
158,36.683189601572224,0.0,30.0,90.0,270.0,270.0,270.0,240.0,270.0
57,36.703485853181654,90.0,120.0,60.0,210.0,270.0,270.0,120.0,270.0
78,36.73473481039201,30.0,120.0,60.0,180.0,30.0,210.0,180.0,270.0
130,36.74231940121405,90.0,120.0,120.0,180.0,270.0,270.0,90.0,270.0
0,36.7449626147335,180.0,120.0,30.0,180.0,270.0,150.0,180.0,60.0
132,36.745187398111035,210.0,120.0,150.0,270.0,240.0,270.0,180.0,270.0
129,36.77385009025572,150.0,120.0,330.0,180.0,270.0,270.0,270.0,270.0
30,36.77555060223389,30.0,120.0,180.0,180.0,240.0,270.0,180.0,90.0
79,36.80528429845861,90.0,120.0,90.0,120.0,270.0,270.0,180.0,270.0
58,36.80528430254932,90.0,120.0,90.0,120.0,270.0,270.0,180.0,270.0
9,36.812467225304644,150.0,90.0,300.0,180.0,180.0,210.0,180.0,60.0
102,36.822441511784334,180.0,120.0,60.0,210.0,270.0,270.0,180.0,90.0
188,36.83110004100256,30.0,120.0,120.0,150.0,270.0,120.0,180.0,270.0
134,36.84233767433796,30.0,120.0,300.0,120.0,270.0,270.0,180.0,270.0
3,36.846985326351856,90.0,330.0,300.0,180.0,270.0,270.0,180.0,270.0
66,36.84916152619273,90.0,330.0,90.0,210.0,270.0,270.0,180.0,270.0
183,36.85849167725701,60.0,120.0,180.0,180.0,270.0,270.0,180.0,150.0
22,36.85910798642686,180.0,120.0,90.0,120.0,270.0,270.0,180.0,270.0
13,36.87270869930339,30.0,120.0,60.0,60.0,270.0,270.0,270.0,90.0
17,36.88027073236089,150.0,330.0,90.0,180.0,270.0,270.0,180.0,270.0
131,36.883889089429374,30.0,120.0,180.0,150.0,270.0,210.0,180.0,150.0
21,36.90462148458302,150.0,120.0,150.0,180.0,300.0,270.0,240.0,90.0
59,36.938801546649856,150.0,0.0,300.0,180.0,270.0,270.0,270.0,270.0
120,36.94266321124189,30.0,120.0,90.0,180.0,120.0,270.0,180.0,270.0
140,36.95248423672878,30.0,120.0,90.0,240.0,150.0,90.0,210.0,90.0
29,36.98426052236915,210.0,150.0,60.0,180.0,270.0,270.0,180.0,300.0
180,37.029772200906166,180.0,120.0,120.0,240.0,270.0,270.0,180.0,180.0
181,37.06863543379098,210.0,240.0,120.0,210.0,270.0,270.0,180.0,300.0
184,37.09755231315913,30.0,330.0,330.0,180.0,270.0,210.0,240.0,270.0
44,37.16792350695574,300.0,120.0,300.0,90.0,270.0,270.0,180.0,300.0
67,37.23518425340205,90.0,90.0,90.0,60.0,270.0,270.0,90.0,270.0
178,37.26424565903831,90.0,150.0,90.0,240.0,270.0,270.0,90.0,270.0
121,37.3446022878898,30.0,90.0,90.0,180.0,270.0,270.0,270.0,270.0
62,37.4315647145006,210.0,120.0,150.0,270.0,90.0,270.0,180.0,270.0
167,37.469559451641864,120.0,120.0,180.0,240.0,210.0,270.0,180.0,270.0
37,37.469705432132606,30.0,120.0,90.0,0.0,270.0,270.0,180.0,270.0
49,37.51294205382129,90.0,120.0,90.0,180.0,210.0,300.0,180.0,270.0
89,37.541051109844126,30.0,150.0,210.0,0.0,270.0,270.0,180.0,270.0
85,37.55500928474313,90.0,150.0,60.0,180.0,270.0,270.0,180.0,240.0
7,37.563351424345605,90.0,90.0,180.0,210.0,90.0,270.0,180.0,270.0
115,37.56476877912917,90.0,150.0,300.0,210.0,270.0,270.0,180.0,240.0
145,37.60049963269466,30.0,90.0,210.0,0.0,270.0,180.0,180.0,270.0
142,37.67185086783818,90.0,120.0,300.0,0.0,270.0,270.0,180.0,30.0
103,37.675061210861145,150.0,120.0,90.0,180.0,150.0,270.0,180.0,270.0
171,37.67813048482101,0.0,120.0,270.0,180.0,150.0,270.0,180.0,270.0
161,37.744809306862116,150.0,150.0,150.0,210.0,150.0,270.0,180.0,270.0
137,38.15502639255397,90.0,120.0,60.0,180.0,270.0,270.0,180.0,210.0
107,38.22562913714351,210.0,120.0,90.0,240.0,270.0,270.0,180.0,210.0
113,38.53715613120353,30.0,120.0,90.0,180.0,180.0,270.0,180.0,0.0
41,38.70698856846065,150.0,120.0,90.0,180.0,180.0,270.0,180.0,270.0
50,38.73858944891466,30.0,120.0,0.0,270.0,180.0,270.0,180.0,270.0
94,38.800152178019665,180.0,120.0,300.0,270.0,270.0,270.0,300.0,270.0
83,38.806039002402926,210.0,90.0,210.0,150.0,270.0,270.0,180.0,0.0
80,39.01859632712544,180.0,180.0,270.0,180.0,270.0,270.0,330.0,210.0
69,39.02242148739265,0.0,120.0,60.0,120.0,270.0,270.0,180.0,0.0
16,39.25370299594368,30.0,240.0,210.0,270.0,270.0,90.0,180.0,270.0
52,39.71463029263115,30.0,120.0,60.0,240.0,270.0,60.0,180.0,0.0
98,39.74229722380801,90.0,150.0,270.0,60.0,270.0,270.0,120.0,270.0
86,40.058208156573706,0.0,120.0,270.0,60.0,330.0,270.0,180.0,270.0
157,40.207031765718405,150.0,150.0,120.0,180.0,330.0,270.0,180.0,270.0
168,41.88892200309712,90.0,270.0,120.0,60.0,270.0,270.0,180.0,270.0
139,41.91357581116137,30.0,270.0,300.0,180.0,270.0,270.0,180.0,270.0
189,42.13528353282943,30.0,120.0,270.0,180.0,270.0,30.0,180.0,150.0
26,42.145472428685025,210.0,270.0,120.0,270.0,270.0,270.0,150.0,270.0
126,42.444801780894174,90.0,270.0,60.0,90.0,270.0,270.0,180.0,90.0
125,42.80259970689637,240.0,150.0,120.0,270.0,270.0,30.0,180.0,270.0
165,43.1306402901187,90.0,150.0,120.0,240.0,270.0,30.0,180.0,270.0
74,44.3480983588785,150.0,90.0,240.0,180.0,30.0,270.0,180.0,270.0
4,44.35077929179413,30.0,150.0,300.0,180.0,30.0,270.0,180.0,270.0
53,47.84008771280956,90.0,270.0,60.0,180.0,270.0,30.0,180.0,270.0
38,49.21560230583955,30.0,120.0,210.0,210.0,270.0,300.0,180.0,270.0
182,49.348022757832695,30.0,240.0,30.0,270.0,30.0,270.0,180.0,270.0
2,50.83734119133097,30.0,120.0,30.0,90.0,270.0,300.0,150.0,210.0
8,53.97505021582057,150.0,90.0,330.0,180.0,60.0,270.0,180.0,270.0
31,55.7396727850198,150.0,90.0,90.0,180.0,0.0,150.0,0.0,270.0
40,56.7014711458398,30.0,120.0,330.0,120.0,60.0,300.0,180.0,270.0
187,59.725835492624036,210.0,120.0,120.0,180.0,270.0,270.0,330.0,270.0
90,60.984503454624274,30.0,120.0,180.0,210.0,60.0,270.0,180.0,270.0
19,67.94109271778663,180.0,150.0,0.0,210.0,270.0,270.0,300.0,270.0
42,68.57652489776004,90.0,150.0,30.0,180.0,270.0,270.0,210.0,330.0
116,69.39438314946882,0.0,120.0,210.0,120.0,270.0,0.0,180.0,270.0
105,72.5737938712012,180.0,120.0,60.0,180.0,270.0,270.0,300.0,270.0
128,74.40973036196411,90.0,120.0,90.0,210.0,270.0,270.0,0.0,270.0
20,74.43928411419914,30.0,120.0,90.0,210.0,270.0,270.0,0.0,270.0
124,74.81432123228235,30.0,120.0,180.0,210.0,30.0,270.0,180.0,270.0
148,80.95907596135275,30.0,120.0,90.0,330.0,30.0,210.0,180.0,270.0
191,84.1860649837821,180.0,120.0,90.0,150.0,240.0,270.0,0.0,270.0
82,84.68967050454653,180.0,120.0,150.0,330.0,330.0,270.0,180.0,270.0
197,86.41469974371407,90.0,120.0,120.0,330.0,270.0,270.0,60.0,270.0
185,86.43358915533506,90.0,150.0,90.0,180.0,240.0,330.0,150.0,270.0
110,87.1729399181097,30.0,150.0,0.0,180.0,150.0,270.0,180.0,330.0
190,87.5275188995095,90.0,120.0,330.0,120.0,270.0,270.0,180.0,330.0
162,91.54951320410844,30.0,120.0,180.0,240.0,270.0,330.0,180.0,270.0
27,92.08408084867438,210.0,300.0,120.0,210.0,270.0,270.0,180.0,270.0
112,92.55367710736185,90.0,300.0,30.0,270.0,270.0,270.0,180.0,120.0
166,96.67307681124201,90.0,120.0,60.0,270.0,270.0,210.0,0.0,0.0
33,100.39978562348918,90.0,330.0,180.0,210.0,30.0,0.0,210.0,210.0
73,120.25606030321678,150.0,0.0,60.0,180.0,270.0,0.0,90.0,270.0
163,127.14652046817818,180.0,120.0,30.0,210.0,270.0,120.0,30.0,270.0
36,143.45748465779266,90.0,120.0,330.0,270.0,270.0,330.0,180.0,330.0
71,149.70384099116418,300.0,120.0,60.0,180.0,330.0,270.0,240.0,330.0
97,172.9024013403805,90.0,120.0,30.0,210.0,270.0,270.0,0.0,270.0
174,190.60703261414926,150.0,150.0,60.0,120.0,270.0,270.0,30.0,270.0
127,198.55666369274593,30.0,150.0,330.0,180.0,270.0,270.0,30.0,270.0
199,284.0612787361428,300.0,30.0,30.0,210.0,30.0,210.0,0.0,330.0
