,Energy,Torsion 0,Torsion 1,Torsion 2,Torsion 3,Torsion 4,Torsion 5,Torsion 6,Torsion 7
25,36.322602740298144,120.0,120.0,60.0,180.0,270.0,270.0,180.0,270.0
99,36.322980819883696,120.0,120.0,90.0,180.0,270.0,270.0,180.0,270.0
16,36.32356067200652,120.0,120.0,240.0,180.0,270.0,270.0,180.0,270.0
28,36.32774459825746,120.0,120.0,330.0,180.0,270.0,270.0,180.0,270.0
85,36.33630740605273,90.0,120.0,270.0,180.0,270.0,210.0,210.0,270.0
29,36.336774254766425,120.0,120.0,0.0,180.0,270.0,270.0,180.0,270.0
144,36.33707764122394,60.0,120.0,240.0,180.0,270.0,270.0,180.0,270.0
36,36.34199943029123,120.0,120.0,0.0,210.0,270.0,270.0,180.0,270.0
8,36.348882570826724,30.0,120.0,270.0,180.0,270.0,270.0,180.0,270.0
81,36.34978748184827,30.0,120.0,60.0,180.0,270.0,270.0,180.0,270.0
179,36.35016584465997,30.0,120.0,90.0,180.0,270.0,270.0,180.0,270.0
173,36.351446788872785,120.0,120.0,270.0,180.0,270.0,210.0,180.0,270.0
125,36.35202440931888,120.0,120.0,60.0,180.0,270.0,210.0,180.0,270.0
87,36.35213941430617,60.0,120.0,150.0,60.0,270.0,270.0,180.0,270.0
35,36.354571540927644,0.0,120.0,270.0,180.0,270.0,270.0,180.0,270.0
58,36.35547643175142,0.0,120.0,60.0,180.0,270.0,270.0,180.0,270.0
163,36.35661803912628,30.0,120.0,240.0,210.0,270.0,270.0,180.0,270.0
68,36.36308281697538,150.0,120.0,270.0,60.0,270.0,270.0,180.0,270.0
177,36.36462185830096,60.0,120.0,120.0,180.0,270.0,210.0,180.0,270.0
162,36.364806165808666,240.0,120.0,60.0,180.0,270.0,270.0,180.0,270.0
102,36.365087123804464,150.0,120.0,240.0,60.0,270.0,270.0,180.0,270.0
64,36.36676589285878,0.0,120.0,210.0,210.0,270.0,270.0,180.0,270.0
56,36.36826722462676,90.0,120.0,150.0,180.0,30.0,210.0,180.0,270.0
94,36.36939410227842,180.0,120.0,60.0,180.0,270.0,270.0,180.0,270.0
39,36.37287457768699,210.0,120.0,150.0,180.0,270.0,270.0,180.0,270.0
106,36.373168806113675,210.0,120.0,30.0,180.0,270.0,270.0,180.0,270.0
117,36.37457339198011,210.0,120.0,330.0,180.0,270.0,270.0,180.0,270.0
108,36.37582909106567,150.0,120.0,210.0,240.0,270.0,270.0,180.0,270.0
23,36.377706230028295,60.0,120.0,240.0,60.0,270.0,210.0,180.0,270.0
70,36.38432063210527,0.0,120.0,270.0,180.0,270.0,210.0,180.0,270.0
132,36.3864474917374,120.0,150.0,270.0,180.0,270.0,270.0,180.0,270.0
155,36.38750796107798,240.0,120.0,300.0,270.0,270.0,270.0,180.0,270.0
53,36.39003641575754,150.0,120.0,300.0,210.0,270.0,210.0,180.0,270.0
197,36.390240591459644,30.0,120.0,330.0,210.0,270.0,210.0,180.0,270.0
157,36.390295666995414,0.0,120.0,150.0,210.0,270.0,210.0,180.0,270.0
7,36.3911762055916,60.0,120.0,180.0,270.0,270.0,210.0,180.0,270.0
57,36.391950520170205,30.0,120.0,150.0,180.0,270.0,240.0,180.0,270.0
72,36.39365000933737,240.0,120.0,270.0,180.0,270.0,210.0,180.0,270.0
134,36.39760139214484,90.0,90.0,270.0,60.0,270.0,210.0,180.0,270.0
139,36.39795859860595,150.0,120.0,270.0,240.0,270.0,210.0,180.0,270.0
171,36.39932183140061,150.0,120.0,180.0,180.0,270.0,240.0,180.0,270.0
168,36.400044013821976,240.0,120.0,330.0,180.0,270.0,210.0,180.0,270.0
84,36.40505323507258,240.0,90.0,270.0,180.0,270.0,270.0,180.0,270.0
79,36.40950332296909,210.0,120.0,270.0,180.0,270.0,240.0,180.0,270.0
185,36.411441555575244,150.0,120.0,270.0,270.0,270.0,240.0,180.0,270.0
21,36.41252138174914,150.0,120.0,0.0,210.0,270.0,240.0,180.0,270.0
169,36.4161021518197,60.0,150.0,300.0,60.0,270.0,270.0,180.0,270.0
82,36.416506735496355,90.0,120.0,270.0,210.0,30.0,210.0,180.0,180.0
141,36.41676595696191,120.0,150.0,240.0,180.0,270.0,210.0,180.0,270.0
180,36.41742504236754,270.0,120.0,270.0,210.0,270.0,210.0,180.0,270.0
93,36.41910460092431,240.0,90.0,240.0,60.0,270.0,270.0,180.0,270.0
51,36.42256943271294,0.0,120.0,0.0,60.0,270.0,240.0,180.0,270.0
195,36.42729050259078,150.0,120.0,180.0,270.0,30.0,210.0,180.0,270.0
6,36.4304763832886,240.0,120.0,330.0,270.0,270.0,240.0,180.0,270.0
159,36.431966096945175,30.0,120.0,90.0,180.0,270.0,180.0,180.0,270.0
