,Energy,Torsion 0,Torsion 1,Torsion 2,Torsion 3,Torsion 4,Torsion 5,Torsion 6,Torsion 7
61,36.31466532721511,90.0,120.0,270.0,180.0,270.0,270.0,180.0,270.0
129,36.316415141622635,90.0,120.0,120.0,180.0,270.0,270.0,180.0,270.0
104,36.32070053751646,90.0,120.0,60.0,210.0,270.0,270.0,180.0,270.0
78,36.32169772536865,120.0,120.0,270.0,180.0,270.0,270.0,180.0,270.0
121,36.32260274161421,120.0,120.0,60.0,180.0,270.0,270.0,180.0,270.0
50,36.322602742304085,120.0,120.0,60.0,180.0,270.0,270.0,180.0,270.0
164,36.3257778041577,120.0,120.0,300.0,180.0,270.0,270.0,180.0,270.0
4,36.326045787531555,120.0,120.0,150.0,180.0,270.0,270.0,180.0,270.0
2,36.328137015356695,120.0,120.0,90.0,210.0,270.0,270.0,180.0,270.0
130,36.32929066991155,120.0,120.0,210.0,180.0,270.0,270.0,180.0,270.0
97,36.3292906706263,120.0,120.0,210.0,180.0,270.0,270.0,180.0,270.0
125,36.32974160146651,90.0,120.0,0.0,180.0,270.0,270.0,180.0,270.0
66,36.33074556197542,120.0,120.0,150.0,210.0,270.0,270.0,180.0,270.0
181,36.33153818770125,120.0,120.0,30.0,210.0,270.0,270.0,180.0,270.0
150,36.33612013319756,60.0,120.0,60.0,180.0,270.0,270.0,180.0,270.0
35,36.336774255832445,120.0,120.0,0.0,180.0,270.0,270.0,180.0,270.0
173,36.3392955388924,60.0,120.0,300.0,180.0,270.0,270.0,180.0,270.0
191,36.33985722002962,60.0,120.0,30.0,180.0,270.0,270.0,180.0,270.0
118,36.34125022439628,60.0,120.0,60.0,210.0,270.0,270.0,180.0,270.0
51,36.34891311687798,60.0,120.0,120.0,60.0,270.0,270.0,180.0,270.0
142,36.35029127907558,60.0,120.0,0.0,180.0,270.0,270.0,180.0,270.0
79,36.35063247458176,30.0,120.0,120.0,180.0,270.0,270.0,180.0,270.0
141,36.3523415077843,150.0,120.0,90.0,180.0,270.0,270.0,180.0,270.0
148,36.35415490383011,60.0,120.0,240.0,240.0,270.0,270.0,180.0,270.0
183,36.35551646487202,60.0,120.0,0.0,210.0,270.0,270.0,180.0,270.0
70,36.355516465345296,60.0,120.0,0.0,210.0,270.0,270.0,180.0,270.0
