,Energy,Torsion 0,Torsion 1,Torsion 2,Torsion 3,Torsion 4,Torsion 5,Torsion 6,Torsion 7
185,36.31930770901278,90.0,120.0,30.0,180.0,270.0,270.0,180.0,270.0
170,36.32110498628453,90.0,120.0,90.0,210.0,270.0,270.0,180.0,270.0
1,36.321104986285675,90.0,120.0,90.0,210.0,270.0,270.0,180.0,270.0
144,36.32260274158171,120.0,120.0,60.0,180.0,270.0,270.0,180.0,270.0
183,36.322980819886816,120.0,120.0,90.0,180.0,270.0,270.0,180.0,270.0
48,36.326340328790934,120.0,120.0,30.0,180.0,270.0,270.0,180.0,270.0
148,36.336120133164634,60.0,120.0,60.0,180.0,270.0,270.0,180.0,270.0
18,36.33635762065702,90.0,120.0,60.0,210.0,270.0,210.0,210.0,270.0
13,36.338217817451635,120.0,120.0,60.0,180.0,270.0,210.0,210.0,270.0
158,36.338217821217306,120.0,120.0,60.0,180.0,270.0,210.0,210.0,270.0
90,36.34163217214469,120.0,120.0,210.0,60.0,270.0,270.0,180.0,270.0
167,36.3449921122605,90.0,120.0,60.0,180.0,270.0,210.0,180.0,270.0
127,36.34499211680757,90.0,120.0,60.0,180.0,270.0,210.0,180.0,270.0
24,36.3454187766591,120.0,120.0,30.0,180.0,270.0,240.0,210.0,270.0
140,36.34637997077895,120.0,120.0,0.0,180.0,270.0,240.0,210.0,270.0
139,36.349048451361696,90.0,120.0,270.0,210.0,270.0,210.0,180.0,270.0
0,36.34906516794416,90.0,120.0,210.0,180.0,270.0,210.0,180.0,270.0
50,36.35092045069792,120.0,120.0,90.0,180.0,270.0,210.0,180.0,270.0
44,36.351103669932385,120.0,120.0,120.0,180.0,270.0,210.0,180.0,270.0
194,36.35173461594482,60.0,120.0,60.0,180.0,270.0,210.0,210.0,270.0
153,36.352249008701506,120.0,120.0,120.0,60.0,270.0,210.0,210.0,270.0
34,36.352717079104345,120.0,120.0,150.0,180.0,270.0,210.0,180.0,270.0
14,36.353784509919365,60.0,120.0,330.0,180.0,270.0,210.0,210.0,270.0
156,36.35398860142833,120.0,120.0,210.0,180.0,270.0,240.0,210.0,270.0
4,36.35564209515454,90.0,120.0,270.0,180.0,270.0,240.0,180.0,270.0
121,36.35583308397546,120.0,120.0,300.0,180.0,270.0,210.0,180.0,270.0
106,36.3560978881683,120.0,120.0,210.0,180.0,270.0,210.0,180.0,270.0
64,36.356231232777866,60.0,120.0,0.0,180.0,270.0,210.0,210.0,270.0
192,36.35694378659503,90.0,120.0,60.0,60.0,270.0,210.0,180.0,270.0
102,36.357288968848984,60.0,120.0,60.0,180.0,270.0,240.0,210.0,270.0
43,36.35865164852373,0.0,120.0,300.0,180.0,270.0,270.0,180.0,270.0
3,36.35976399511348,120.0,120.0,120.0,270.0,270.0,210.0,210.0,270.0
35,36.3614419416509,120.0,120.0,30.0,210.0,270.0,210.0,180.0,270.0
7,36.36216461237666,0.0,120.0,210.0,180.0,270.0,270.0,180.0,270.0
61,36.36397615368973,120.0,120.0,60.0,60.0,270.0,210.0,180.0,270.0
174,36.365540713568265,60.0,120.0,240.0,180.0,270.0,210.0,180.0,270.0
67,36.365541800561836,60.0,120.0,60.0,180.0,270.0,210.0,180.0,270.0
110,36.36757861986238,150.0,120.0,60.0,180.0,270.0,210.0,210.0,270.0
126,36.36843913303384,120.0,120.0,210.0,60.0,270.0,210.0,180.0,270.0
172,36.369614606176334,60.0,120.0,210.0,180.0,270.0,210.0,180.0,270.0
173,36.369899166826976,30.0,120.0,0.0,180.0,270.0,210.0,210.0,270.0
187,36.371497329239624,60.0,120.0,180.0,180.0,270.0,210.0,180.0,270.0
87,36.372042821903364,120.0,120.0,0.0,210.0,270.0,210.0,180.0,270.0
163,36.372075251897975,150.0,120.0,0.0,180.0,270.0,210.0,210.0,270.0
37,36.37395526811858,60.0,120.0,210.0,60.0,270.0,210.0,210.0,270.0
38,36.37402531944449,60.0,120.0,90.0,270.0,270.0,210.0,210.0,270.0
20,36.3750412225944,150.0,120.0,120.0,210.0,270.0,210.0,210.0,270.0
179,36.377659365961364,120.0,120.0,180.0,270.0,270.0,210.0,180.0,270.0
5,36.377895041474005,150.0,120.0,0.0,60.0,270.0,270.0,180.0,270.0
104,36.37868525098887,150.0,120.0,180.0,180.0,270.0,210.0,210.0,270.0
68,36.38208076426669,120.0,120.0,270.0,270.0,270.0,240.0,180.0,270.0
180,36.383265726546945,30.0,120.0,270.0,210.0,270.0,210.0,180.0,270.0
70,36.38356564315697,180.0,120.0,0.0,180.0,270.0,270.0,180.0,270.0
198,36.38602040794845,60.0,120.0,150.0,270.0,270.0,210.0,180.0,270.0
159,36.38653424486787,0.0,120.0,210.0,210.0,270.0,210.0,210.0,270.0
101,36.38656955536451,30.0,120.0,60.0,270.0,270.0,210.0,210.0,270.0
184,36.3887069681942,0.0,120.0,300.0,180.0,270.0,210.0,180.0,270.0
16,36.38895470883751,0.0,120.0,270.0,210.0,270.0,210.0,180.0,270.0
91,36.389882777475,240.0,120.0,0.0,210.0,270.0,210.0,210.0,270.0
31,36.390563473356316,180.0,120.0,60.0,180.0,270.0,240.0,210.0,270.0
145,36.39137405441522,30.0,120.0,240.0,60.0,270.0,210.0,180.0,270.0
29,36.392690277315744,60.0,120.0,30.0,60.0,270.0,240.0,180.0,270.0
147,36.39538074645496,210.0,120.0,210.0,180.0,270.0,210.0,210.0,270.0
80,36.396115721842776,180.0,120.0,180.0,180.0,270.0,210.0,210.0,270.0
138,36.397150389283965,120.0,120.0,210.0,180.0,270.0,210.0,180.0,30.0
10,36.39763951560331,0.0,120.0,150.0,180.0,270.0,240.0,180.0,270.0
96,36.39823821631322,180.0,120.0,270.0,180.0,270.0,210.0,180.0,270.0
103,36.399780777858446,0.0,90.0,300.0,180.0,270.0,270.0,180.0,270.0
57,36.40415916044014,0.0,120.0,60.0,270.0,270.0,210.0,180.0,270.0
193,36.40466353718481,0.0,90.0,300.0,210.0,270.0,270.0,180.0,270.0
161,36.40729629472632,150.0,120.0,0.0,180.0,270.0,240.0,180.0,270.0
195,36.424018673341536,270.0,120.0,270.0,180.0,270.0,240.0,180.0,270.0
42,36.425964824439674,180.0,120.0,30.0,60.0,270.0,240.0,180.0,270.0
19,36.44158164319742,270.0,120.0,210.0,60.0,270.0,240.0,180.0,270.0
105,36.44625670587275,60.0,150.0,30.0,60.0,270.0,210.0,180.0,270.0
176,36.47535779005171,0.0,180.0,60.0,180.0,270.0,270.0,180.0,270.0
62,36.48060346281076,120.0,210.0,240.0,180.0,270.0,210.0,180.0,270.0
191,36.48548114299512,60.0,210.0,60.0,210.0,270.0,210.0,210.0,270.0
98,36.502432461318314,120.0,120.0,60.0,180.0,270.0,210.0,150.0,270.0
190,36.50846312738593,240.0,180.0,0.0,180.0,270.0,240.0,210.0,270.0
55,36.53428725615622,330.0,120.0,90.0,180.0,270.0,180.0,180.0,270.0
2,36.53996774645957,180.0,120.0,180.0,30.0,270.0,240.0,210.0,270.0
151,36.547217011994505,60.0,30.0,90.0,270.0,270.0,240.0,180.0,270.0
109,36.55381192672887,120.0,120.0,270.0,150.0,270.0,210.0,210.0,270.0
71,36.55452211376097,120.0,120.0,30.0,60.0,270.0,270.0,150.0,270.0
26,36.55566857818844,150.0,240.0,60.0,270.0,270.0,240.0,180.0,270.0
197,36.5655765645195,0.0,120.0,60.0,150.0,270.0,270.0,180.0,270.0
73,36.58772420296743,240.0,60.0,270.0,180.0,270.0,210.0,180.0,270.0
108,36.58848658197903,90.0,90.0,60.0,180.0,270.0,210.0,210.0,60.0
150,36.591792421660905,120.0,120.0,270.0,150.0,0.0,210.0,210.0,270.0
162,36.592387451657565,90.0,120.0,60.0,240.0,240.0,270.0,210.0,270.0
63,36.59670948805489,60.0,60.0,0.0,60.0,270.0,240.0,180.0,270.0
94,36.60112148182816,120.0,120.0,180.0,180.0,240.0,210.0,180.0,270.0
199,36.60823276554889,90.0,0.0,210.0,240.0,270.0,180.0,180.0,270.0
160,36.608449011826416,120.0,120.0,270.0,180.0,270.0,210.0,180.0,90.0
33,36.64472513550163,90.0,90.0,60.0,180.0,270.0,210.0,120.0,270.0
128,36.654112878252356,60.0,120.0,210.0,210.0,30.0,210.0,180.0,60.0
137,36.669904891037696,150.0,120.0,210.0,60.0,270.0,210.0,240.0,120.0
83,36.67196612132417,90.0,120.0,270.0,180.0,270.0,210.0,180.0,180.0
39,36.675729632794926,150.0,120.0,150.0,210.0,270.0,210.0,180.0,150.0
41,36.68508956782562,120.0,210.0,90.0,180.0,270.0,210.0,210.0,60.0
54,36.69653141474188,60.0,120.0,240.0,180.0,60.0,210.0,180.0,270.0
79,36.69873618518867,60.0,120.0,0.0,60.0,270.0,210.0,180.0,300.0
11,36.7026231074926,90.0,120.0,0.0,180.0,300.0,210.0,180.0,270.0
107,36.70458114634091,120.0,120.0,150.0,210.0,300.0,210.0,180.0,270.0
58,36.71933395872105,150.0,210.0,180.0,300.0,270.0,210.0,180.0,270.0
30,36.73537987344808,150.0,150.0,210.0,90.0,270.0,150.0,180.0,270.0
188,36.757670964700914,0.0,120.0,210.0,210.0,270.0,210.0,300.0,270.0
21,36.76687016645902,60.0,120.0,60.0,210.0,270.0,270.0,210.0,270.0
196,36.85895574092407,90.0,330.0,60.0,180.0,270.0,210.0,210.0,270.0
133,36.87406195508698,120.0,120.0,210.0,30.0,270.0,210.0,120.0,270.0
76,36.883998169438485,60.0,90.0,60.0,120.0,270.0,210.0,210.0,270.0
92,36.8988350979431,180.0,120.0,270.0,120.0,270.0,240.0,180.0,270.0
131,36.921436684034575,60.0,240.0,270.0,180.0,270.0,210.0,60.0,60.0
165,36.935836526222595,180.0,210.0,60.0,210.0,270.0,210.0,210.0,180.0
125,36.95779409463472,210.0,0.0,300.0,180.0,150.0,270.0,150.0,30.0
169,36.99912404658123,60.0,30.0,210.0,120.0,270.0,210.0,210.0,270.0
143,37.04003605596713,300.0,90.0,60.0,120.0,270.0,210.0,210.0,270.0
116,37.10736445723847,90.0,120.0,210.0,300.0,60.0,30.0,180.0,270.0
51,37.19836134577784,90.0,120.0,60.0,180.0,270.0,210.0,300.0,150.0
129,37.3107080016221,150.0,330.0,60.0,210.0,270.0,270.0,210.0,270.0
59,37.312851914218996,180.0,120.0,300.0,180.0,270.0,90.0,210.0,270.0
89,37.330417976251006,120.0,120.0,0.0,60.0,180.0,210.0,210.0,270.0
99,37.352692989873695,150.0,120.0,180.0,180.0,180.0,210.0,210.0,270.0
141,37.361333133586484,90.0,120.0,300.0,240.0,90.0,270.0,180.0,270.0
74,37.42016487620122,60.0,120.0,60.0,180.0,210.0,210.0,180.0,270.0
123,37.45281141153301,90.0,120.0,60.0,0.0,270.0,210.0,210.0,270.0
85,37.4785991830908,150.0,90.0,0.0,210.0,180.0,120.0,210.0,270.0
124,37.53227935189999,120.0,120.0,210.0,0.0,270.0,180.0,180.0,270.0
142,37.644775033389756,120.0,120.0,120.0,180.0,150.0,270.0,180.0,270.0
82,37.69801385753287,90.0,120.0,270.0,0.0,240.0,270.0,210.0,270.0
88,37.72949100227709,120.0,120.0,270.0,0.0,270.0,210.0,300.0,270.0
6,37.82701329473764,120.0,0.0,180.0,0.0,270.0,150.0,180.0,270.0
8,38.02995425984204,30.0,120.0,60.0,180.0,270.0,210.0,180.0,210.0
15,38.04610952463594,30.0,120.0,30.0,60.0,270.0,210.0,180.0,210.0
81,38.11786049702854,150.0,120.0,270.0,60.0,270.0,210.0,210.0,210.0
17,38.23724287214334,60.0,120.0,60.0,180.0,270.0,240.0,210.0,210.0
77,38.7184062600218,30.0,120.0,270.0,180.0,180.0,210.0,180.0,270.0
25,38.73124498502936,90.0,120.0,270.0,180.0,180.0,180.0,180.0,270.0
93,38.9420033984763,180.0,30.0,60.0,210.0,180.0,180.0,180.0,270.0
49,39.501526380315326,210.0,210.0,0.0,180.0,30.0,30.0,180.0,270.0
155,39.82873313362024,120.0,120.0,90.0,270.0,300.0,210.0,210.0,270.0
