,Energy,Torsion 0,Torsion 1,Torsion 2,Torsion 3,Torsion 4,Torsion 5,Torsion 6,Torsion 7
189,36.314665331429545,90.0,120.0,270.0,180.0,270.0,270.0,180.0,270.0
96,36.319299436301804,90.0,120.0,270.0,210.0,270.0,270.0,180.0,270.0
182,36.32974160215605,90.0,120.0,0.0,180.0,270.0,270.0,180.0,270.0
156,36.33062034030205,120.0,120.0,300.0,210.0,270.0,270.0,180.0,270.0
22,36.33181637477355,90.0,120.0,270.0,240.0,270.0,270.0,180.0,270.0
150,36.33283823941971,90.0,120.0,60.0,240.0,270.0,270.0,180.0,270.0
5,36.33615113887902,120.0,120.0,180.0,210.0,270.0,270.0,180.0,270.0
136,36.33696550552455,60.0,120.0,120.0,180.0,270.0,270.0,180.0,270.0
193,36.3432505502085,120.0,120.0,300.0,240.0,270.0,270.0,180.0,270.0
181,36.34426310675171,60.0,120.0,150.0,210.0,270.0,270.0,180.0,270.0
2,36.34880065212855,90.0,120.0,300.0,180.0,270.0,210.0,180.0,270.0
100,36.3520244086607,120.0,120.0,60.0,180.0,270.0,210.0,180.0,270.0
89,36.35514880197478,60.0,120.0,210.0,60.0,270.0,270.0,180.0,270.0
113,36.35564209515891,90.0,120.0,270.0,180.0,270.0,240.0,180.0,270.0
140,36.35581756576018,90.0,90.0,270.0,180.0,270.0,270.0,180.0,270.0
67,36.356563283313115,90.0,120.0,240.0,180.0,270.0,240.0,180.0,270.0
101,36.356768294070136,60.0,120.0,300.0,240.0,270.0,270.0,180.0,270.0
120,36.35789638888203,120.0,120.0,240.0,210.0,270.0,210.0,180.0,270.0
90,36.35998498805466,60.0,120.0,210.0,240.0,270.0,270.0,180.0,270.0
110,36.35998499055118,60.0,120.0,210.0,240.0,270.0,270.0,180.0,270.0
82,36.36027619869091,90.0,120.0,270.0,210.0,270.0,240.0,180.0,270.0
107,36.36107667293347,30.0,120.0,210.0,210.0,270.0,270.0,180.0,270.0
168,36.36156538032758,90.0,120.0,270.0,240.0,270.0,210.0,180.0,270.0
31,36.36681775419607,120.0,120.0,0.0,180.0,270.0,210.0,180.0,270.0
108,36.368816833820766,30.0,120.0,210.0,60.0,270.0,270.0,180.0,270.0
111,36.369184250292086,30.0,120.0,0.0,210.0,270.0,270.0,180.0,270.0
59,36.3694685319712,120.0,120.0,240.0,210.0,270.0,240.0,180.0,270.0
76,36.370626628136584,90.0,120.0,180.0,270.0,270.0,210.0,180.0,270.0
116,36.370902762772886,90.0,120.0,0.0,180.0,270.0,240.0,180.0,270.0
160,36.37612440200722,0.0,120.0,300.0,240.0,270.0,270.0,180.0,270.0
190,36.37636741854021,60.0,90.0,270.0,180.0,270.0,270.0,180.0,270.0
21,36.37812675161964,60.0,90.0,120.0,180.0,270.0,270.0,180.0,270.0
27,36.37984942441763,120.0,120.0,300.0,210.0,30.0,210.0,180.0,270.0
167,36.38082602563648,60.0,120.0,270.0,210.0,270.0,240.0,180.0,270.0
141,36.38394695624846,270.0,120.0,60.0,180.0,270.0,270.0,180.0,270.0
147,36.387668364120366,60.0,120.0,330.0,210.0,270.0,240.0,180.0,270.0
78,36.39045279839952,90.0,90.0,120.0,210.0,270.0,210.0,180.0,270.0
61,36.39196450718925,270.0,120.0,300.0,210.0,270.0,270.0,180.0,270.0
164,36.3941278775562,30.0,120.0,300.0,180.0,270.0,240.0,180.0,270.0
179,36.39534890440592,60.0,120.0,0.0,180.0,30.0,210.0,180.0,270.0
197,36.399289847597586,90.0,120.0,60.0,180.0,270.0,180.0,180.0,270.0
106,36.39934944947986,150.0,120.0,150.0,240.0,270.0,210.0,180.0,270.0
124,36.39969172339564,0.0,120.0,0.0,180.0,270.0,210.0,180.0,270.0
72,36.40294365903891,150.0,120.0,30.0,240.0,270.0,210.0,180.0,270.0
133,36.40409182221498,90.0,90.0,180.0,180.0,270.0,240.0,180.0,270.0
70,36.40681210758808,240.0,90.0,120.0,180.0,270.0,270.0,180.0,270.0
29,36.408232723611306,0.0,120.0,300.0,270.0,270.0,210.0,180.0,270.0
155,36.40879654437146,240.0,120.0,240.0,240.0,270.0,240.0,210.0,270.0
60,36.4092652782949,30.0,120.0,270.0,270.0,270.0,240.0,180.0,270.0
37,36.412790936403724,270.0,120.0,270.0,180.0,270.0,210.0,180.0,270.0
43,36.41354917006959,150.0,120.0,0.0,240.0,270.0,210.0,180.0,270.0
46,36.4191971326743,270.0,120.0,120.0,240.0,270.0,210.0,210.0,270.0
165,36.41934258179266,0.0,120.0,300.0,270.0,270.0,240.0,180.0,270.0
13,36.42466714205039,150.0,120.0,0.0,240.0,270.0,240.0,180.0,270.0
171,36.43066925894199,60.0,120.0,300.0,210.0,270.0,180.0,180.0,270.0
153,36.434542385349374,90.0,180.0,270.0,180.0,270.0,270.0,180.0,270.0
187,36.446898770198345,120.0,120.0,300.0,90.0,270.0,270.0,180.0,270.0
199,36.44927507994208,90.0,210.0,60.0,210.0,270.0,270.0,180.0,270.0
19,36.455092238005925,60.0,180.0,270.0,180.0,270.0,270.0,180.0,270.0
134,36.45879722067943,330.0,120.0,210.0,180.0,270.0,270.0,180.0,270.0
183,36.46941412863141,120.0,120.0,270.0,180.0,270.0,120.0,180.0,270.0
87,36.4809531883098,330.0,120.0,270.0,180.0,270.0,210.0,180.0,270.0
148,36.485704046952314,60.0,240.0,120.0,210.0,270.0,270.0,180.0,270.0
186,36.4870152490821,90.0,30.0,240.0,270.0,270.0,270.0,180.0,270.0
30,36.48776626496478,60.0,240.0,300.0,210.0,270.0,270.0,180.0,270.0
126,36.48917957311969,0.0,210.0,330.0,180.0,270.0,270.0,180.0,270.0
12,36.49999567647532,0.0,240.0,120.0,180.0,270.0,270.0,180.0,270.0
32,36.50243246117878,120.0,120.0,60.0,180.0,270.0,210.0,150.0,270.0
158,36.514031229237034,180.0,240.0,240.0,180.0,270.0,270.0,180.0,270.0
117,36.51663626587763,300.0,120.0,330.0,270.0,270.0,270.0,180.0,270.0
69,36.517722468207,120.0,120.0,300.0,240.0,270.0,240.0,240.0,270.0
144,36.51944843392744,0.0,120.0,270.0,240.0,270.0,120.0,180.0,270.0
65,36.52227684844114,90.0,120.0,240.0,240.0,270.0,240.0,180.0,30.0
146,36.53490283038465,120.0,210.0,60.0,180.0,270.0,180.0,180.0,270.0
104,36.54482112065372,300.0,120.0,330.0,240.0,270.0,210.0,180.0,270.0
66,36.546116856192086,180.0,120.0,30.0,180.0,270.0,240.0,240.0,270.0
166,36.55340034313314,90.0,150.0,60.0,270.0,270.0,270.0,240.0,270.0
45,36.55351131253914,60.0,120.0,210.0,150.0,270.0,270.0,180.0,270.0
139,36.55554392593624,90.0,120.0,0.0,180.0,270.0,210.0,150.0,270.0
14,36.55689827703513,300.0,150.0,60.0,180.0,270.0,270.0,180.0,270.0
163,36.56008853605934,120.0,120.0,330.0,180.0,270.0,270.0,180.0,30.0
188,36.56409737387472,90.0,120.0,90.0,270.0,270.0,270.0,180.0,30.0
26,36.56797802483522,30.0,120.0,330.0,270.0,270.0,150.0,180.0,270.0
84,36.56800649610534,30.0,240.0,0.0,270.0,270.0,240.0,180.0,270.0
145,36.568239729939414,150.0,120.0,330.0,240.0,270.0,150.0,180.0,270.0
103,36.56916104289819,150.0,60.0,330.0,270.0,270.0,270.0,180.0,270.0
122,36.56982336336857,90.0,120.0,0.0,150.0,270.0,210.0,180.0,270.0
33,36.5778218401594,90.0,120.0,300.0,270.0,30.0,210.0,210.0,270.0
109,36.604751719618804,60.0,150.0,120.0,300.0,270.0,270.0,180.0,270.0
35,36.606903089809656,180.0,120.0,30.0,240.0,270.0,270.0,150.0,270.0
97,36.63037571476876,0.0,120.0,210.0,90.0,270.0,120.0,180.0,270.0
93,36.63291158194985,120.0,210.0,0.0,30.0,270.0,210.0,180.0,270.0
178,36.64629381554431,330.0,0.0,30.0,210.0,270.0,270.0,180.0,270.0
129,36.65249979927986,330.0,60.0,120.0,210.0,270.0,270.0,180.0,270.0
55,36.682638919594694,90.0,120.0,240.0,270.0,270.0,210.0,180.0,120.0
105,36.68686373754339,60.0,120.0,180.0,180.0,240.0,240.0,240.0,270.0
194,36.69020027426279,90.0,120.0,270.0,270.0,270.0,210.0,300.0,270.0
115,36.71555879769646,0.0,120.0,300.0,180.0,240.0,270.0,180.0,270.0
3,36.73221981699082,210.0,30.0,180.0,300.0,270.0,270.0,180.0,270.0
196,36.74688077464778,210.0,30.0,30.0,210.0,270.0,270.0,150.0,270.0
71,36.79207646108873,120.0,120.0,330.0,180.0,270.0,240.0,180.0,120.0
49,36.81881396765666,90.0,120.0,0.0,120.0,270.0,270.0,180.0,270.0
138,36.82559706675077,90.0,120.0,180.0,180.0,270.0,270.0,180.0,120.0
170,36.82839238973075,90.0,150.0,270.0,270.0,270.0,270.0,210.0,270.0
169,36.83769390827418,0.0,120.0,120.0,150.0,240.0,210.0,180.0,270.0
10,36.848857407899835,90.0,120.0,0.0,120.0,270.0,210.0,180.0,270.0
172,36.871408753104575,180.0,120.0,0.0,180.0,270.0,240.0,120.0,270.0
91,36.87753816492023,30.0,120.0,0.0,270.0,270.0,150.0,180.0,150.0
57,36.88301905766822,240.0,120.0,270.0,120.0,270.0,210.0,180.0,270.0
143,36.88876438060303,0.0,120.0,0.0,120.0,270.0,210.0,180.0,270.0
130,36.891360917665075,120.0,90.0,30.0,240.0,270.0,270.0,180.0,120.0
36,36.90757868372666,90.0,90.0,270.0,180.0,270.0,270.0,180.0,300.0
85,36.917684114512284,120.0,120.0,30.0,180.0,120.0,270.0,180.0,270.0
154,36.93079395572234,90.0,120.0,270.0,180.0,120.0,240.0,180.0,270.0
63,36.93677219839439,90.0,120.0,0.0,60.0,90.0,210.0,150.0,270.0
8,36.95560251182903,180.0,120.0,30.0,180.0,270.0,270.0,120.0,150.0
88,36.97018560947502,90.0,120.0,210.0,240.0,120.0,210.0,180.0,270.0
