,Energy,Torsion 0,Torsion 1,Torsion 2,Torsion 3,Torsion 4,Torsion 5,Torsion 6,Torsion 7
188,36.32433478711751,90.0,120.0,180.0,180.0,270.0,270.0,180.0,270.0
141,36.32433478776503,90.0,120.0,180.0,180.0,270.0,270.0,180.0,270.0
90,36.333704706070044,90.0,120.0,90.0,180.0,270.0,210.0,210.0,270.0
146,36.33665835443774,90.0,120.0,150.0,180.0,270.0,210.0,210.0,270.0
32,36.338647841998885,90.0,120.0,120.0,210.0,270.0,210.0,210.0,270.0
127,36.34073727476935,120.0,120.0,90.0,180.0,270.0,210.0,210.0,270.0
157,36.3416553435702,60.0,120.0,90.0,210.0,270.0,270.0,180.0,270.0
48,36.344414354368006,90.0,120.0,270.0,180.0,270.0,210.0,180.0,270.0
139,36.348674173459685,90.0,120.0,180.0,180.0,270.0,240.0,210.0,270.0
29,36.349048453605235,90.0,120.0,270.0,210.0,270.0,210.0,180.0,270.0
165,36.349668034608804,60.0,120.0,180.0,210.0,270.0,270.0,180.0,270.0
73,36.350389238391166,90.0,120.0,150.0,210.0,270.0,210.0,180.0,270.0
30,36.35234151350354,150.0,120.0,90.0,180.0,270.0,270.0,180.0,270.0
116,36.35323074403018,30.0,120.0,150.0,180.0,270.0,270.0,180.0,270.0
68,36.357207072317664,60.0,120.0,150.0,180.0,270.0,210.0,210.0,270.0
124,36.35722739192972,90.0,120.0,270.0,240.0,270.0,240.0,210.0,270.0
197,36.35919755747133,60.0,120.0,120.0,210.0,270.0,210.0,210.0,270.0
59,36.36050827700843,120.0,120.0,90.0,270.0,270.0,210.0,210.0,270.0
27,36.362419263737735,60.0,120.0,150.0,210.0,270.0,210.0,210.0,270.0
58,36.36623460821071,60.0,120.0,150.0,180.0,270.0,210.0,180.0,270.0
143,36.36841339605228,30.0,120.0,300.0,180.0,270.0,210.0,210.0,270.0
94,36.368474747381896,90.0,120.0,30.0,270.0,270.0,210.0,180.0,270.0
135,36.37087583841764,30.0,120.0,150.0,180.0,270.0,210.0,210.0,270.0
149,36.37135826505857,60.0,120.0,330.0,180.0,270.0,210.0,180.0,270.0
153,36.37141335809324,60.0,120.0,240.0,210.0,270.0,210.0,180.0,270.0
108,36.37283729254578,180.0,120.0,150.0,180.0,270.0,270.0,180.0,270.0
187,36.37334532932518,0.0,120.0,120.0,180.0,270.0,210.0,210.0,270.0
173,36.37487338584509,0.0,120.0,0.0,210.0,270.0,270.0,180.0,270.0
131,36.375284076175554,0.0,120.0,90.0,270.0,270.0,270.0,180.0,270.0
