,Energy,Torsion 0,Torsion 1,Torsion 2,Torsion 3,Torsion 4,Torsion 5,Torsion 6,Torsion 7
144,36.33370470607246,90.0,120.0,90.0,180.0,270.0,210.0,210.0,270.0
22,36.34785227120252,90.0,120.0,0.0,60.0,270.0,210.0,210.0,270.0
1,36.354254356081384,60.0,120.0,90.0,180.0,270.0,210.0,210.0,270.0
107,36.357047558746864,120.0,120.0,300.0,60.0,270.0,240.0,210.0,270.0
131,36.36292828471057,90.0,120.0,180.0,180.0,270.0,240.0,180.0,270.0
8,36.366135097745385,150.0,120.0,0.0,180.0,270.0,270.0,180.0,270.0
39,36.366595957030064,0.0,120.0,270.0,60.0,270.0,270.0,180.0,270.0
102,36.37509734167648,120.0,90.0,210.0,210.0,270.0,270.0,180.0,270.0
42,36.38346795813193,30.0,120.0,120.0,210.0,270.0,210.0,180.0,270.0
122,36.38519388837413,150.0,120.0,300.0,180.0,270.0,210.0,180.0,270.0
119,36.38545871512975,150.0,120.0,210.0,180.0,270.0,210.0,180.0,270.0
65,36.38851898092192,60.0,120.0,120.0,60.0,270.0,240.0,180.0,270.0
28,36.389869099440794,150.0,120.0,90.0,270.0,270.0,210.0,210.0,270.0
113,36.39011767588571,90.0,120.0,210.0,180.0,270.0,210.0,180.0,30.0
128,36.39465052939308,150.0,120.0,150.0,60.0,270.0,210.0,180.0,270.0
114,36.39626770927149,150.0,90.0,300.0,180.0,270.0,270.0,180.0,270.0
194,36.3967126795904,0.0,120.0,90.0,60.0,270.0,210.0,180.0,270.0
178,36.39823821944461,180.0,120.0,270.0,180.0,270.0,210.0,180.0,270.0
30,36.3988150929965,180.0,120.0,240.0,180.0,270.0,210.0,180.0,270.0
126,36.400253090241755,60.0,120.0,90.0,60.0,30.0,210.0,180.0,270.0
175,36.40048837343335,150.0,120.0,90.0,270.0,270.0,210.0,180.0,270.0
182,36.402661938057264,210.0,120.0,300.0,180.0,270.0,210.0,180.0,270.0
123,36.40469991145103,150.0,120.0,90.0,60.0,270.0,240.0,180.0,270.0
151,36.40501391941964,120.0,90.0,90.0,60.0,270.0,210.0,180.0,270.0
87,36.406042505830655,240.0,120.0,90.0,60.0,270.0,210.0,180.0,270.0
105,36.40739649541892,60.0,90.0,150.0,180.0,270.0,210.0,180.0,270.0
70,36.40791289477309,60.0,120.0,30.0,180.0,270.0,210.0,180.0,30.0
