,Energy,Torsion 0,Torsion 1,Torsion 2,Torsion 3,Torsion 4,Torsion 5,Torsion 6,Torsion 7
42,36.32604578570012,120.0,120.0,150.0,180.0,270.0,270.0,180.0,270.0
67,36.338217817423235,120.0,120.0,60.0,180.0,270.0,210.0,210.0,270.0
66,36.341103965602535,120.0,120.0,270.0,270.0,270.0,270.0,180.0,270.0
166,36.34407149525643,90.0,120.0,120.0,180.0,270.0,210.0,180.0,270.0
168,36.344071496546825,90.0,120.0,120.0,180.0,270.0,210.0,180.0,270.0
142,36.34499116631211,90.0,120.0,240.0,180.0,270.0,210.0,180.0,270.0
162,36.34932440555678,120.0,120.0,180.0,180.0,270.0,210.0,210.0,270.0
26,36.35105848340148,150.0,120.0,270.0,180.0,270.0,270.0,180.0,270.0
175,36.351103669898656,120.0,120.0,120.0,180.0,270.0,210.0,180.0,270.0
3,36.35110366990039,120.0,120.0,120.0,180.0,270.0,210.0,180.0,270.0
63,36.3514467896452,120.0,120.0,270.0,180.0,270.0,210.0,180.0,270.0
27,36.35144679183078,120.0,120.0,270.0,180.0,270.0,210.0,180.0,270.0
57,36.352024409291765,120.0,120.0,60.0,180.0,270.0,210.0,180.0,270.0
61,36.35562229135275,330.0,120.0,180.0,180.0,0.0,240.0,210.0,270.0
105,36.355833083943466,120.0,120.0,300.0,180.0,270.0,210.0,180.0,270.0
80,36.35583308812193,120.0,120.0,300.0,180.0,270.0,210.0,180.0,270.0
5,36.356246939555696,120.0,120.0,30.0,180.0,270.0,210.0,180.0,270.0
151,36.356907080852174,60.0,120.0,60.0,210.0,270.0,210.0,210.0,270.0
143,36.35773306125003,90.0,120.0,150.0,180.0,270.0,240.0,180.0,270.0
37,36.35975699381209,60.0,120.0,90.0,210.0,270.0,210.0,210.0,270.0
139,36.36043865730992,120.0,120.0,210.0,60.0,270.0,210.0,210.0,270.0
137,36.36069937093662,120.0,120.0,210.0,210.0,270.0,210.0,180.0,270.0
76,36.362161656173754,120.0,120.0,240.0,240.0,270.0,210.0,210.0,270.0
71,36.362767023889305,120.0,120.0,180.0,210.0,270.0,210.0,180.0,270.0
136,36.36476556574768,120.0,120.0,150.0,180.0,270.0,240.0,180.0,270.0
108,36.365541797768465,60.0,120.0,60.0,180.0,270.0,210.0,180.0,270.0
33,36.36789290525796,120.0,120.0,300.0,60.0,270.0,210.0,180.0,270.0
133,36.36841339541132,30.0,120.0,300.0,180.0,270.0,210.0,210.0,270.0
149,36.369350644917375,60.0,120.0,300.0,180.0,270.0,210.0,180.0,270.0
134,36.37009807237634,150.0,120.0,90.0,180.0,270.0,210.0,210.0,270.0
43,36.371497329208275,60.0,120.0,180.0,180.0,270.0,210.0,180.0,270.0
4,36.37149732920846,60.0,120.0,180.0,180.0,270.0,210.0,180.0,270.0
65,36.37270061469289,150.0,120.0,270.0,180.0,270.0,210.0,210.0,270.0
22,36.37275106900696,150.0,120.0,60.0,210.0,270.0,210.0,210.0,270.0
18,36.37542685894505,120.0,120.0,180.0,240.0,270.0,210.0,180.0,270.0
127,36.376283919114265,60.0,120.0,180.0,210.0,270.0,210.0,180.0,270.0
87,36.37766760143447,30.0,120.0,30.0,210.0,270.0,240.0,210.0,270.0
131,36.3799020365654,30.0,120.0,150.0,180.0,270.0,210.0,180.0,270.0
83,36.38042074377105,240.0,120.0,60.0,180.0,270.0,210.0,210.0,270.0
73,36.38046445868783,150.0,120.0,120.0,180.0,270.0,210.0,180.0,270.0
178,36.38080755964047,150.0,120.0,270.0,180.0,270.0,210.0,180.0,270.0
148,36.3813845414005,150.0,120.0,240.0,180.0,270.0,210.0,180.0,270.0
85,36.38138508337386,150.0,120.0,60.0,180.0,270.0,210.0,180.0,270.0
106,36.38489810018774,0.0,120.0,60.0,180.0,270.0,210.0,180.0,270.0
107,36.38519388060097,150.0,120.0,300.0,180.0,270.0,210.0,180.0,270.0
195,36.38519388440275,150.0,120.0,300.0,180.0,270.0,210.0,180.0,270.0
173,36.38519388440306,150.0,120.0,300.0,180.0,270.0,210.0,180.0,270.0
180,36.38519388440309,150.0,120.0,300.0,180.0,270.0,210.0,180.0,270.0
199,36.38544164694474,150.0,120.0,270.0,210.0,270.0,210.0,180.0,270.0
167,36.385441648825065,150.0,120.0,270.0,210.0,270.0,210.0,180.0,270.0
104,36.38555114301755,150.0,120.0,90.0,210.0,270.0,210.0,180.0,270.0
194,36.38560773203801,150.0,120.0,30.0,180.0,270.0,210.0,180.0,270.0
170,36.38734129147231,150.0,120.0,180.0,180.0,270.0,210.0,180.0,270.0
23,36.38734129449791,150.0,120.0,180.0,180.0,270.0,210.0,180.0,270.0
60,36.38915663223915,0.0,120.0,120.0,210.0,270.0,210.0,180.0,270.0
53,36.390060194486814,150.0,120.0,210.0,210.0,270.0,210.0,180.0,270.0
182,36.39033173588888,30.0,120.0,90.0,180.0,270.0,240.0,180.0,270.0
64,36.39279696501659,150.0,120.0,60.0,180.0,270.0,240.0,180.0,270.0
130,36.39330721621507,240.0,120.0,120.0,180.0,270.0,210.0,180.0,270.0
163,36.393550196534655,150.0,120.0,240.0,60.0,270.0,210.0,180.0,270.0
113,36.39365000632242,240.0,120.0,270.0,180.0,270.0,210.0,180.0,270.0
58,36.39696221993553,120.0,90.0,300.0,180.0,270.0,210.0,180.0,270.0
188,36.39724550911112,120.0,120.0,300.0,180.0,270.0,210.0,180.0,30.0
156,36.397484962011944,120.0,90.0,120.0,210.0,270.0,210.0,180.0,270.0
95,36.39780000341311,150.0,120.0,210.0,60.0,270.0,210.0,180.0,270.0
56,36.39793298875207,210.0,120.0,120.0,180.0,270.0,210.0,180.0,270.0
157,36.39885329066252,210.0,120.0,60.0,180.0,270.0,210.0,180.0,270.0
1,36.3991449897517,120.0,90.0,180.0,180.0,270.0,210.0,180.0,270.0
25,36.39925459732248,240.0,120.0,60.0,210.0,270.0,210.0,180.0,270.0
159,36.39932183639213,150.0,120.0,180.0,180.0,270.0,240.0,180.0,270.0
52,36.39954587386951,210.0,120.0,150.0,180.0,270.0,210.0,180.0,270.0
89,36.400099422327415,240.0,120.0,240.0,210.0,270.0,210.0,180.0,270.0
177,36.40184498143277,120.0,90.0,300.0,210.0,270.0,210.0,180.0,270.0
147,36.407020237762524,150.0,120.0,180.0,270.0,270.0,210.0,180.0,270.0
74,36.40981811064861,180.0,120.0,120.0,180.0,270.0,240.0,180.0,270.0
124,36.41592954274457,210.0,120.0,240.0,240.0,270.0,210.0,180.0,270.0
35,36.420138329432724,240.0,120.0,0.0,180.0,270.0,240.0,180.0,270.0
102,36.43097770499505,60.0,150.0,150.0,180.0,270.0,210.0,180.0,270.0
181,36.4312057784248,150.0,90.0,300.0,210.0,270.0,210.0,180.0,270.0
34,36.461462093295864,120.0,120.0,60.0,90.0,270.0,210.0,210.0,270.0
172,36.48131590655155,120.0,180.0,30.0,210.0,270.0,210.0,180.0,270.0
135,36.494449676015925,150.0,180.0,240.0,180.0,270.0,210.0,210.0,270.0
197,36.496702001943234,90.0,30.0,150.0,180.0,270.0,210.0,180.0,270.0
69,36.50246009763611,120.0,30.0,270.0,180.0,270.0,210.0,180.0,270.0
125,36.50633767485914,120.0,240.0,270.0,180.0,270.0,240.0,180.0,270.0
91,36.506441211417695,120.0,240.0,180.0,210.0,270.0,210.0,180.0,270.0
138,36.50849697919115,90.0,120.0,240.0,180.0,270.0,150.0,180.0,270.0
160,36.5093731220092,150.0,210.0,270.0,180.0,270.0,210.0,180.0,270.0
122,36.51900355983162,150.0,120.0,60.0,30.0,270.0,210.0,180.0,270.0
198,36.51984433536362,180.0,120.0,60.0,90.0,270.0,210.0,180.0,270.0
12,36.52157837345088,300.0,120.0,240.0,180.0,270.0,210.0,180.0,270.0
183,36.528826522053585,150.0,240.0,300.0,180.0,270.0,210.0,180.0,270.0
15,36.53291951974739,60.0,120.0,300.0,180.0,270.0,150.0,180.0,270.0
11,36.53299078058434,300.0,120.0,60.0,180.0,270.0,240.0,180.0,270.0
75,36.536364368442044,150.0,120.0,150.0,210.0,270.0,210.0,150.0,270.0
112,36.538844974157406,150.0,30.0,150.0,210.0,270.0,210.0,180.0,270.0
36,36.54199119058433,330.0,120.0,120.0,210.0,270.0,180.0,180.0,270.0
114,36.5431472094986,150.0,120.0,330.0,180.0,270.0,210.0,150.0,270.0
99,36.558316867031934,150.0,30.0,0.0,180.0,270.0,240.0,180.0,270.0
48,36.57641358547038,150.0,0.0,270.0,180.0,270.0,240.0,180.0,270.0
93,36.58739312342278,240.0,60.0,120.0,180.0,270.0,210.0,180.0,270.0
8,36.603288818028346,120.0,90.0,60.0,150.0,270.0,210.0,180.0,270.0
16,36.61007134446524,120.0,120.0,120.0,210.0,270.0,210.0,180.0,90.0
174,36.61007134714086,120.0,120.0,120.0,210.0,270.0,210.0,180.0,90.0
155,36.632720780487226,30.0,120.0,270.0,210.0,270.0,210.0,300.0,270.0
123,36.63504443352494,120.0,120.0,120.0,210.0,270.0,210.0,210.0,90.0
88,36.646870851613116,120.0,120.0,30.0,180.0,270.0,210.0,180.0,150.0
152,36.666683569169734,210.0,120.0,120.0,180.0,270.0,210.0,240.0,120.0
70,36.67250472778995,150.0,120.0,270.0,180.0,270.0,210.0,180.0,150.0
40,36.67314299766034,120.0,120.0,60.0,180.0,270.0,210.0,270.0,180.0
141,36.685503604009355,210.0,30.0,270.0,240.0,270.0,120.0,180.0,270.0
176,36.68650839236776,120.0,120.0,210.0,210.0,270.0,210.0,180.0,180.0
17,36.68728495257665,120.0,120.0,300.0,180.0,60.0,210.0,180.0,270.0
29,36.71192342629365,120.0,90.0,30.0,180.0,270.0,210.0,240.0,270.0
90,36.715394139360356,60.0,120.0,240.0,210.0,270.0,240.0,300.0,270.0
189,36.72747504778102,60.0,120.0,180.0,270.0,270.0,120.0,210.0,30.0
44,36.74228856827135,90.0,120.0,60.0,210.0,60.0,210.0,120.0,270.0
59,36.749300862808205,150.0,60.0,270.0,180.0,270.0,210.0,180.0,60.0
186,36.74994345218302,300.0,120.0,60.0,240.0,270.0,210.0,210.0,0.0
185,36.755089885335146,150.0,120.0,180.0,180.0,270.0,210.0,270.0,270.0
2,36.77909071533098,120.0,120.0,60.0,180.0,150.0,210.0,180.0,60.0
54,36.83344751539951,90.0,120.0,120.0,120.0,270.0,210.0,180.0,270.0
191,36.841789776856665,210.0,30.0,120.0,210.0,270.0,120.0,180.0,270.0
79,36.851554165689926,120.0,30.0,30.0,150.0,0.0,240.0,180.0,270.0
39,36.8789754498368,120.0,120.0,30.0,300.0,60.0,210.0,180.0,270.0
62,36.879914639018764,120.0,330.0,60.0,180.0,270.0,210.0,180.0,270.0
97,36.88140456552467,150.0,120.0,270.0,120.0,270.0,240.0,180.0,270.0
19,36.88402659449347,210.0,210.0,120.0,150.0,270.0,210.0,150.0,270.0
116,36.88417664617724,120.0,330.0,270.0,210.0,270.0,210.0,180.0,270.0
110,36.88526114218842,210.0,120.0,180.0,120.0,270.0,210.0,210.0,270.0
140,36.88813124226145,210.0,120.0,60.0,120.0,270.0,210.0,180.0,270.0
