,Energy,Torsion 0,Torsion 1,Torsion 2,Torsion 3,Torsion 4,Torsion 5,Torsion 6,Torsion 7
168,36.3249421232914,60.0,120.0,210.0,240.0,30.0,210.0,150.0,270.0
97,36.32685924730666,90.0,120.0,210.0,210.0,270.0,270.0,180.0,270.0
99,36.32774459948092,120.0,120.0,330.0,180.0,270.0,270.0,180.0,270.0
0,36.341519674400665,90.0,120.0,210.0,180.0,270.0,210.0,210.0,270.0
184,36.34388840943202,90.0,120.0,90.0,180.0,270.0,210.0,180.0,270.0
178,36.34388841415639,90.0,120.0,90.0,180.0,270.0,210.0,180.0,270.0
155,36.34906516765719,90.0,120.0,210.0,180.0,270.0,210.0,180.0,270.0
115,36.34906516765772,90.0,120.0,210.0,180.0,270.0,210.0,180.0,270.0
93,36.351446789670625,120.0,120.0,270.0,180.0,270.0,210.0,180.0,270.0
18,36.35338792506548,60.0,120.0,60.0,240.0,270.0,270.0,180.0,270.0
52,36.353767318206636,90.0,120.0,30.0,270.0,270.0,210.0,210.0,270.0
13,36.356097888163454,120.0,120.0,210.0,180.0,270.0,210.0,180.0,270.0
185,36.35705115942144,120.0,120.0,60.0,210.0,270.0,210.0,180.0,270.0
44,36.35784098480357,120.0,120.0,330.0,180.0,270.0,210.0,180.0,270.0
68,36.357980450130555,120.0,120.0,180.0,180.0,270.0,210.0,180.0,270.0
113,36.359785046079416,90.0,120.0,0.0,180.0,270.0,210.0,180.0,270.0
125,36.36110172269667,120.0,120.0,180.0,60.0,270.0,210.0,210.0,270.0
196,36.362161652387194,120.0,120.0,240.0,240.0,270.0,210.0,210.0,270.0
116,36.362767023695405,120.0,120.0,180.0,210.0,270.0,210.0,180.0,270.0
49,36.36347107746814,120.0,120.0,270.0,60.0,270.0,210.0,180.0,270.0
147,36.36382056240586,90.0,120.0,270.0,270.0,270.0,210.0,180.0,270.0
186,36.364438766852835,60.0,120.0,90.0,180.0,270.0,210.0,180.0,270.0
193,36.36623460920596,60.0,120.0,150.0,180.0,270.0,210.0,180.0,270.0
82,36.3662427179753,90.0,120.0,210.0,240.0,270.0,210.0,180.0,270.0
26,36.36681775021704,120.0,120.0,0.0,180.0,270.0,210.0,180.0,270.0
121,36.36794877603094,90.0,120.0,90.0,180.0,30.0,210.0,180.0,270.0
6,36.36935064494574,60.0,120.0,300.0,180.0,270.0,210.0,180.0,270.0
16,36.36935064841167,60.0,120.0,300.0,180.0,270.0,210.0,180.0,270.0
102,36.371127661851816,120.0,120.0,90.0,270.0,270.0,210.0,180.0,270.0
114,36.37135826983166,60.0,120.0,330.0,180.0,270.0,210.0,180.0,270.0
198,36.37327543648549,120.0,120.0,210.0,240.0,270.0,210.0,180.0,270.0
5,36.37419319530149,60.0,120.0,300.0,210.0,270.0,210.0,180.0,270.0
146,36.37419319583094,60.0,120.0,300.0,210.0,270.0,210.0,180.0,270.0
151,36.375359970434324,120.0,120.0,300.0,270.0,270.0,210.0,180.0,270.0
81,36.37565298406501,120.0,120.0,210.0,270.0,270.0,210.0,180.0,270.0
152,36.378477158664516,0.0,120.0,30.0,270.0,270.0,270.0,180.0,270.0
133,36.37855431911894,0.0,120.0,120.0,210.0,270.0,210.0,210.0,270.0
166,36.38033461454563,60.0,120.0,0.0,180.0,270.0,210.0,180.0,270.0
83,36.38082602562752,60.0,120.0,270.0,210.0,270.0,240.0,180.0,270.0
17,36.381413254222196,60.0,120.0,210.0,180.0,270.0,240.0,180.0,270.0
101,36.38208139712839,60.0,120.0,60.0,210.0,270.0,240.0,180.0,270.0
129,36.38317764117435,60.0,120.0,330.0,60.0,270.0,210.0,180.0,270.0
197,36.38328259292769,30.0,120.0,210.0,180.0,270.0,210.0,180.0,270.0
55,36.3839725431579,60.0,90.0,210.0,180.0,270.0,270.0,180.0,270.0
66,36.385165227352374,30.0,120.0,180.0,180.0,270.0,210.0,180.0,270.0
14,36.38545871215871,150.0,120.0,210.0,180.0,270.0,210.0,180.0,270.0
85,36.38601482016799,60.0,120.0,210.0,210.0,270.0,240.0,180.0,270.0
74,36.38625868254036,120.0,90.0,300.0,270.0,270.0,270.0,180.0,270.0
45,36.38679215954838,60.0,120.0,210.0,240.0,270.0,210.0,180.0,270.0
192,36.38788408432385,30.0,120.0,210.0,210.0,270.0,210.0,180.0,270.0
48,36.388971835000795,0.0,120.0,210.0,180.0,270.0,210.0,180.0,270.0
47,36.39562379658028,30.0,120.0,210.0,60.0,270.0,210.0,180.0,270.0
173,36.39570564100121,30.0,120.0,120.0,240.0,270.0,210.0,180.0,270.0
29,36.397211384616256,120.0,120.0,0.0,270.0,270.0,240.0,180.0,270.0
91,36.39774903335353,90.0,120.0,90.0,180.0,270.0,180.0,180.0,270.0
77,36.39830072935763,240.0,120.0,210.0,180.0,270.0,210.0,180.0,270.0
70,36.398449892621876,240.0,120.0,30.0,180.0,270.0,210.0,180.0,270.0
137,36.40025309285012,60.0,120.0,90.0,60.0,30.0,210.0,180.0,270.0
20,36.40046014538383,30.0,120.0,210.0,240.0,270.0,210.0,180.0,270.0
10,36.40190522799391,120.0,90.0,210.0,210.0,270.0,210.0,180.0,270.0
