,Energy,Torsion 0,Torsion 1,Torsion 2,Torsion 3,Torsion 4,Torsion 5,Torsion 6,Torsion 7
132,36.31557044931573,90.0,120.0,60.0,180.0,270.0,270.0,180.0,270.0
37,36.320712108819244,90.0,120.0,330.0,180.0,270.0,270.0,180.0,270.0
180,36.32577779347731,120.0,120.0,300.0,180.0,270.0,270.0,180.0,270.0
38,36.32592683281167,90.0,120.0,330.0,210.0,270.0,270.0,180.0,270.0
164,36.32736854711317,90.0,120.0,60.0,60.0,270.0,270.0,180.0,270.0
154,36.32773282012329,120.0,120.0,60.0,210.0,270.0,270.0,180.0,270.0
189,36.32911844594058,90.0,120.0,180.0,210.0,270.0,270.0,180.0,270.0
30,36.3292906752588,120.0,120.0,210.0,180.0,270.0,270.0,180.0,270.0
148,36.33440091447081,120.0,120.0,60.0,60.0,270.0,270.0,180.0,270.0
192,36.336646064847336,90.0,120.0,30.0,240.0,270.0,270.0,180.0,270.0
27,36.33857174562805,90.0,120.0,30.0,270.0,270.0,270.0,180.0,270.0
163,36.33929553884937,60.0,120.0,300.0,180.0,270.0,270.0,180.0,270.0
33,36.33987052564223,120.0,120.0,60.0,240.0,270.0,270.0,180.0,270.0
31,36.34150142281751,90.0,120.0,0.0,60.0,270.0,270.0,180.0,270.0
79,36.34488437821138,60.0,120.0,180.0,180.0,270.0,270.0,180.0,270.0
188,36.34505507454347,60.0,120.0,30.0,210.0,270.0,270.0,180.0,270.0
191,36.34530468513427,120.0,120.0,300.0,270.0,270.0,270.0,180.0,270.0
29,36.348882570935594,30.0,120.0,270.0,180.0,270.0,270.0,180.0,270.0
24,36.34901751085643,90.0,120.0,0.0,270.0,270.0,270.0,180.0,270.0
67,36.35105847917729,150.0,120.0,270.0,180.0,270.0,270.0,180.0,270.0
91,36.35196341555471,150.0,120.0,60.0,180.0,270.0,270.0,180.0,270.0
181,36.35352503797803,30.0,120.0,30.0,180.0,270.0,270.0,180.0,270.0
18,36.35424330610433,60.0,120.0,120.0,240.0,270.0,270.0,180.0,270.0
70,36.35564209514116,90.0,120.0,270.0,180.0,270.0,240.0,180.0,270.0
166,36.35570111786738,150.0,120.0,30.0,180.0,270.0,270.0,180.0,270.0
174,36.35780530376526,30.0,120.0,300.0,210.0,270.0,270.0,180.0,270.0
149,36.35879407911552,150.0,120.0,240.0,210.0,270.0,270.0,180.0,270.0
45,36.359981118087696,150.0,120.0,300.0,210.0,270.0,270.0,180.0,270.0
73,36.36072834128757,150.0,120.0,180.0,180.0,270.0,270.0,180.0,270.0
194,36.36138962729689,0.0,120.0,120.0,210.0,270.0,270.0,180.0,270.0
44,36.362307159958085,0.0,120.0,240.0,210.0,270.0,270.0,180.0,270.0
61,36.36565086079693,240.0,120.0,120.0,180.0,270.0,270.0,180.0,270.0
36,36.36719844348876,150.0,120.0,300.0,60.0,270.0,270.0,180.0,270.0
92,36.36999871682714,150.0,120.0,240.0,240.0,270.0,270.0,180.0,270.0
130,36.37128659888827,120.0,120.0,60.0,270.0,270.0,210.0,180.0,270.0
35,36.37149351644824,240.0,120.0,210.0,180.0,270.0,270.0,180.0,270.0
85,36.372146693808396,150.0,120.0,120.0,270.0,270.0,270.0,180.0,270.0
13,36.372458543370854,150.0,120.0,240.0,270.0,270.0,270.0,180.0,270.0
55,36.37274457364135,120.0,90.0,30.0,210.0,270.0,270.0,180.0,270.0
5,36.37282367898575,240.0,120.0,300.0,210.0,270.0,270.0,180.0,270.0
160,36.37426629431376,30.0,120.0,330.0,270.0,270.0,270.0,180.0,270.0
69,36.374965213690864,150.0,120.0,30.0,270.0,270.0,270.0,180.0,270.0
49,36.37509734170043,120.0,90.0,210.0,210.0,270.0,270.0,180.0,270.0
60,36.375162464326934,240.0,120.0,330.0,210.0,270.0,270.0,180.0,270.0
90,36.37611902582068,210.0,120.0,210.0,180.0,270.0,270.0,180.0,270.0
19,36.37644253479154,150.0,120.0,330.0,270.0,270.0,270.0,180.0,270.0
185,36.37772229406767,90.0,90.0,30.0,240.0,270.0,270.0,180.0,270.0
15,36.37772229951328,90.0,90.0,30.0,240.0,270.0,270.0,180.0,270.0
80,36.378044019363166,0.0,120.0,330.0,240.0,270.0,270.0,180.0,270.0
58,36.37815885453543,180.0,120.0,180.0,180.0,270.0,270.0,180.0,270.0
108,36.37847715480776,0.0,120.0,30.0,270.0,270.0,270.0,180.0,270.0
183,36.37990203740323,30.0,120.0,150.0,180.0,270.0,210.0,180.0,270.0
109,36.38122970830804,210.0,120.0,60.0,60.0,270.0,270.0,180.0,270.0
158,36.38122970830911,210.0,120.0,60.0,60.0,270.0,270.0,180.0,270.0
76,36.383920512973035,0.0,120.0,180.0,270.0,270.0,270.0,180.0,270.0
54,36.38530072940466,240.0,120.0,240.0,270.0,270.0,270.0,180.0,270.0
4,36.388923030350725,0.0,120.0,0.0,270.0,270.0,270.0,180.0,270.0
56,36.388923034942884,0.0,120.0,0.0,270.0,270.0,270.0,180.0,270.0
