,Energy,Torsion 0,Torsion 1,Torsion 2,Torsion 3,Torsion 4,Torsion 5,Torsion 6,Torsion 7
185,36.32633182176299,120.0,120.0,270.0,210.0,270.0,270.0,180.0,270.0
21,36.34904845309925,90.0,120.0,270.0,210.0,270.0,210.0,180.0,270.0
144,36.35110366990217,120.0,120.0,120.0,180.0,270.0,210.0,180.0,270.0
45,36.35202440819815,120.0,120.0,60.0,180.0,270.0,210.0,180.0,270.0
134,36.356097888138784,120.0,120.0,210.0,180.0,270.0,210.0,180.0,270.0
105,36.36540252092272,30.0,120.0,60.0,180.0,270.0,210.0,210.0,270.0
181,36.37062662808365,90.0,120.0,180.0,270.0,270.0,210.0,180.0,270.0
168,36.371493510582575,240.0,120.0,210.0,180.0,270.0,270.0,180.0,270.0
9,36.37828882643209,30.0,120.0,120.0,180.0,270.0,210.0,180.0,270.0
188,36.37863162923073,30.0,120.0,270.0,180.0,270.0,210.0,180.0,270.0
165,36.3791137819115,0.0,120.0,90.0,210.0,270.0,210.0,210.0,270.0
167,36.37920915076156,30.0,120.0,60.0,180.0,270.0,210.0,180.0,270.0
42,36.379591397744946,30.0,120.0,60.0,60.0,270.0,210.0,210.0,270.0
1,36.38028113627683,150.0,120.0,90.0,180.0,270.0,210.0,180.0,270.0
23,36.380464459779986,150.0,120.0,120.0,180.0,270.0,210.0,180.0,270.0
169,36.38138508313922,150.0,120.0,60.0,180.0,270.0,210.0,180.0,270.0
34,36.38138508337496,150.0,120.0,60.0,180.0,270.0,210.0,180.0,270.0
164,36.381385083375065,150.0,120.0,60.0,180.0,270.0,210.0,180.0,270.0
149,36.38207792023112,150.0,120.0,150.0,180.0,270.0,210.0,180.0,270.0
120,36.38255475247937,210.0,120.0,240.0,60.0,270.0,270.0,180.0,270.0
18,36.38301800908391,30.0,120.0,300.0,180.0,270.0,210.0,180.0,270.0
11,36.38394696593564,270.0,120.0,60.0,180.0,270.0,270.0,180.0,270.0
180,36.38397751459757,0.0,120.0,120.0,180.0,270.0,210.0,180.0,270.0
2,36.38397751459802,0.0,120.0,120.0,180.0,270.0,210.0,180.0,270.0
47,36.38490478925447,270.0,120.0,240.0,180.0,270.0,270.0,180.0,270.0
60,36.38519388315466,150.0,120.0,300.0,180.0,270.0,210.0,180.0,270.0
183,36.38545871513766,150.0,120.0,210.0,180.0,270.0,210.0,180.0,270.0
135,36.385458718259706,150.0,120.0,210.0,180.0,270.0,210.0,180.0,270.0
197,36.385591031437,0.0,120.0,150.0,180.0,270.0,210.0,180.0,270.0
110,36.38564358110637,150.0,120.0,120.0,210.0,270.0,210.0,180.0,270.0
170,36.38641182922056,150.0,120.0,60.0,210.0,270.0,210.0,180.0,270.0
172,36.38767599334372,270.0,120.0,270.0,210.0,270.0,270.0,180.0,270.0
199,36.387860550306,30.0,120.0,300.0,210.0,270.0,210.0,180.0,270.0
5,36.38833852427129,0.0,120.0,150.0,60.0,270.0,210.0,210.0,270.0
78,36.389222060133946,120.0,120.0,120.0,180.0,270.0,210.0,180.0,30.0
7,36.39152720475842,240.0,120.0,180.0,180.0,270.0,210.0,210.0,270.0
195,36.39152720593879,240.0,120.0,180.0,180.0,270.0,210.0,210.0,270.0
17,36.39422783363538,240.0,120.0,60.0,180.0,270.0,210.0,180.0,270.0
143,36.39554836161395,0.0,120.0,270.0,180.0,270.0,240.0,180.0,270.0
38,36.395598113760286,60.0,120.0,270.0,270.0,270.0,240.0,180.0,270.0
186,36.39816371287402,0.0,120.0,150.0,60.0,270.0,210.0,180.0,270.0
101,36.398471012357,30.0,120.0,60.0,270.0,270.0,210.0,180.0,270.0
196,36.39954586964431,210.0,120.0,150.0,180.0,270.0,210.0,180.0,270.0
118,36.400488676897716,210.0,120.0,210.0,210.0,270.0,210.0,210.0,270.0
94,36.402081383070204,270.0,120.0,90.0,180.0,270.0,210.0,210.0,270.0
16,36.402661936959696,210.0,120.0,300.0,180.0,270.0,210.0,180.0,270.0
77,36.40288918819588,180.0,120.0,210.0,180.0,270.0,210.0,180.0,270.0
136,36.402926245605734,210.0,120.0,210.0,180.0,270.0,210.0,180.0,270.0
10,36.40292624673151,210.0,120.0,210.0,180.0,270.0,210.0,180.0,270.0
121,36.40292624673179,210.0,120.0,210.0,180.0,270.0,210.0,180.0,270.0
113,36.40320853362854,270.0,120.0,60.0,270.0,270.0,270.0,180.0,270.0
29,36.404250531894334,210.0,120.0,150.0,210.0,270.0,210.0,180.0,270.0
109,36.40468398737383,270.0,120.0,270.0,180.0,270.0,210.0,210.0,270.0
138,36.40472493918116,210.0,120.0,240.0,210.0,270.0,210.0,180.0,270.0
67,36.40486824373983,150.0,120.0,30.0,270.0,270.0,210.0,180.0,270.0
70,36.40548961971083,0.0,120.0,30.0,210.0,270.0,240.0,180.0,270.0
81,36.41279093031717,270.0,120.0,270.0,180.0,270.0,210.0,180.0,270.0
52,36.41279093513282,270.0,120.0,270.0,180.0,270.0,210.0,180.0,270.0
40,36.412790936369674,270.0,120.0,270.0,180.0,270.0,210.0,180.0,270.0
152,36.41336862790151,270.0,120.0,60.0,180.0,270.0,210.0,180.0,270.0
122,36.41406117915805,270.0,120.0,150.0,180.0,270.0,210.0,180.0,270.0
25,36.41495347748066,0.0,120.0,270.0,270.0,270.0,240.0,180.0,270.0
43,36.417177214591085,270.0,120.0,300.0,180.0,270.0,210.0,180.0,270.0
194,36.41744196453126,270.0,120.0,210.0,180.0,270.0,210.0,180.0,270.0
173,36.419324512034144,270.0,120.0,180.0,180.0,270.0,210.0,180.0,270.0
189,36.42816181595123,270.0,120.0,0.0,180.0,270.0,210.0,180.0,270.0
88,36.431305052156425,270.0,120.0,180.0,180.0,270.0,240.0,180.0,270.0
50,36.43168247986009,270.0,120.0,180.0,60.0,270.0,210.0,180.0,270.0
171,36.43168248167265,270.0,120.0,180.0,60.0,270.0,210.0,180.0,270.0
159,36.43492697556307,270.0,120.0,30.0,240.0,270.0,210.0,180.0,270.0
