,energy,torsion_0,torsion_1
21,-46.44600576261749,201.7884155539561,38.50807897506811
12,-46.44600565401308,201.7884155539561,38.50807897506811
8,-46.446005651040736,201.7884155539561,38.50807897506811
13,-46.445558248642755,210.0,38.610479191411564
29,-46.43510309489088,60.33275007818026,170.50251499740995
10,-46.43510308536182,60.33275007818026,170.5025287117787
7,-46.435103082142604,60.33275007818026,170.5025287117787
17,-46.43510304058,60.33272847669361,170.5025287117787
2,-46.43510300955805,60.332733092049516,170.50251499740995
23,-46.43510286742318,60.3327330830594,170.50251499740995
25,-46.43403307668123,176.89332777327556,38.77865078756639
28,-46.43403297079854,176.89344087182164,38.77851524127905
16,-46.43403285050951,176.89344087182164,38.77851524127905
24,-46.43377393953838,176.89746983008908,38.610479191411564
3,-46.43377392424944,176.89746983008908,38.610479191411564
20,-46.433769462984145,176.89344087182164,38.610479191411564
6,-46.432964378825744,201.7884155539561,30.0
27,-46.427091484691374,201.7884155539561,90.0
26,-46.42446261938741,176.89332777327556,170.50270818120757
5,-46.42267703759771,60.3327330830594,210.0
0,-46.422674132035496,60.34051552432003,210.0
18,-46.42182629538266,300.0,38.50807897506811
4,-46.4128163233311,60.33272847669361,60.0
14,-46.410760444741044,300.0,30.0
22,-46.39896524903159,60.33275007818026,90.0
19,-46.398918829476685,60.0,90.0
11,-46.38219210417245,60.332733092049516,120.0
1,-46.380425859963026,60.332733092049516,30.0
15,-46.34258313459921,150.0,270.0
9,-46.327775559782,0.0,330.0
