,energy,torsion_0,torsion_1
8,-46.4402067853118,201.4131297352105,34.552869809973316
28,-46.43933321671349,200.44155534414767,34.04874505124024
7,-46.43753788572823,191.0288164273301,34.52621680632392
15,-46.436465167109446,205.60788210396058,32.06762556784502
4,-46.4362195218109,200.8396188586441,32.058959740702036
11,-46.436000363325974,206.30103261262275,31.78187610527944
26,-46.43588353545138,208.0674172525269,31.76138812168158
10,-46.43555675684601,199.53955064250644,31.760599416247004
3,-46.43529729395263,220.37303164301636,32.75214493302742
13,-46.43508571916922,227.12445243547182,33.83518817780458
22,-46.434601714893944,197.2536537539074,31.452075310837724
17,-46.43414090812925,207.12331865179982,30.62647060234899
29,-46.43383981803416,197.17786544038907,31.003661196983415
16,-46.433237649167296,194.0404742594269,31.199628964662207
23,-46.43301866995429,188.10829460069345,32.69761772543133
9,-46.432833984666644,204.50656009359338,29.809825594082277
19,-46.43190066170868,202.18380281769683,29.332104846344556
14,-46.431700081751245,198.44811343053038,29.552657425404785
27,-46.43169473085206,201.29467321124645,29.267367697104667
20,-46.431466092496834,209.5761529685938,29.042746786792815
0,-46.43082083951836,217.24695418965905,29.29935522436962
24,-46.43082034853862,196.05014992510627,29.38780941890449
5,-46.42988171389666,203.8471951682066,28.03436991645833
25,-46.429820796047494,216.01335297909273,28.512206396255696
21,-46.42941475070691,213.04636357363557,27.97759682214972
1,-46.42938200961109,185.09748650625855,31.70616039091683
18,-46.42922198593564,204.84516167158904,27.605889295817683
2,-46.4288982806751,219.44645584443296,28.321219637984274
6,-46.42773937837197,219.62375009480184,27.589011818817447
12,-46.423960288883706,185.36135871273012,28.515204287649098
