,energy,torsion_0,torsion_1
101,-46.4075377212005,310,85
102,-46.424292522238915,200,25
103,-46.42304819661692,180,205
104,-46.40916064267819,295,90
105,-46.34973888395203,10,305
106,-46.3942682719389,350,170
107,-46.37801525574778,340,225
108,-46.42618427812582,30,180
109,-46.36302066241424,30,265
110,-46.416834866826235,210,20
111,-46.37661331083913,310,110
112,-46.4048437070293,325,45
113,-46.42380000858108,210,170
114,-46.356712437800724,20,295
115,-46.39699153931818,315,310
116,-46.35109809944251,80,250
117,-46.429666336097256,290,40
118,-46.330933682505105,100,245
119,-46.38557487221581,330,155
120,-46.38103519300958,170,130
121,-46.350296825204936,355,310
122,-46.343129623143255,135,230
123,-46.41589031454376,200,20
124,-46.44559748489306,180,45
125,-46.332541660141004,145,5
126,-46.35733392297564,75,305
127,-46.36554518736429,40,290
128,-46.45695318208621,215,55
129,-46.378462750638704,60,240
130,-46.38598555952635,5,70
131,-46.385862795465954,100,85
132,-46.391328544650406,210,110
133,-46.37738589128608,305,130
134,-46.36962937564462,35,105
135,-46.322061326149736,0,5
136,-46.39546645641431,240,335
137,-46.41502725149033,20,200
138,-46.393710479933844,345,55
139,-46.381316531290366,275,115
140,-46.316916658069346,115,330
141,-46.350618098553326,80,280
142,-46.38123534659084,190,280
143,-46.34140421359646,355,110
144,-46.44123071512328,285,60
145,-46.39816817775463,305,275
146,-46.330753244507065,105,20
147,-46.32313463306846,0,335
148,-46.403705169913025,0,180
149,-46.386821203613266,165,145
150,-46.388101579662845,185,120
151,-46.38288285787408,210,120
152,-46.41370538683711,150,80
153,-46.36442289918804,75,25
154,-46.38134319560302,190,235
155,-46.355648184193655,355,255
156,-46.36429489260067,140,30
157,-46.38979686786851,215,225
158,-46.33434686710146,75,345
159,-46.366606632835754,55,280
160,-46.41993014616176,180,95
161,-46.36274729839417,95,225
162,-46.40558815054314,150,195
163,-46.42159355644273,280,30
164,-46.39668959956853,245,335
165,-46.37547679840495,320,245
166,-46.39371799448995,250,0
167,-46.36740765440223,50,290
168,-46.41938949233159,160,185
169,-46.40296315701718,355,180
170,-46.38542551070847,195,125
171,-46.35567945272547,75,310
172,-46.32124584030802,130,330
173,-46.44462191847421,250,60
174,-46.36898526320422,40,255
175,-46.390381091762976,135,170
176,-46.36426577744257,65,295
177,-46.413697440966786,160,40
178,-46.400072233042664,315,290
179,-46.32192956692555,90,345
180,-46.411751859956695,210,160
181,-46.33332687662542,110,235
182,-46.38055699765161,55,115
183,-46.39926867889906,20,215
184,-46.378824869974125,270,130
185,-46.34430477328229,350,320
186,-46.41248166161759,245,165
187,-46.43967580238487,45,185
188,-46.39331277818823,265,355
189,-46.37125682829165,230,255
190,-46.37435405740044,215,265
191,-46.37990179481321,180,285
192,-46.41963973954435,290,160
193,-46.34248485642675,145,280
194,-46.35422855259614,345,315
195,-46.35660610090335,75,20
196,-46.40720445581704,75,60
197,-46.36591470005746,5,150
198,-46.4201056599679,150,70
199,-46.3340316598009,100,20
200,-46.32021819158493,120,245
201,-46.34730781845772,50,330
202,-46.41673820907661,70,210
203,-46.43440094923946,55,170
204,-46.3887563049893,15,160
205,-46.38868592986077,315,25
206,-46.38603099983996,190,125
207,-46.370516058454115,335,95
208,-46.3822812620069,225,230
209,-46.34152119835838,85,265
210,-46.33100023591297,105,240
211,-46.41330752903687,305,35
212,-46.35095033171817,0,100
213,-46.325301538861055,130,325
214,-46.37915547625627,185,355
215,-46.393124485148604,320,285
216,-46.38429810223832,80,135
217,-46.3950018873434,225,220
218,-46.37010657497976,65,245
219,-46.32310535315392,10,5
220,-46.439861711570614,225,75
221,-46.3450020555762,85,250
222,-46.395817664426346,300,270
223,-46.323015665759186,125,275
224,-46.38140638122982,325,230
225,-46.3871237032823,325,305
226,-46.405758660303576,245,315
227,-46.385567370503196,205,230
228,-46.43980284222701,165,70
229,-46.42547456837033,295,165
230,-46.38779975122131,200,335
231,-46.37037511229616,130,40
232,-46.36873260889254,330,100
233,-46.340048819230304,0,130
234,-46.41041279809289,325,205
235,-46.395357837034766,205,300
236,-46.40150281615891,80,80
237,-46.42377575408656,25,190
238,-46.38657750532761,200,135
239,-46.43746002587537,45,195
240,-46.385956530266554,225,110
241,-46.3510714614404,50,325
242,-46.37037959100937,180,270
243,-46.398581845045584,210,150
244,-46.42014240928731,325,190
245,-46.39158897014002,235,150
246,-46.4344657151116,200,180
247,-46.38526970442709,165,20
248,-46.37982503055835,95,215
249,-46.39614287784619,315,30
250,-46.38540623942376,245,230
251,-46.41250332132094,190,100
252,-46.339076041186246,45,340
253,-46.3805199851748,335,225
254,-46.405580974526714,265,15
255,-46.389647151820185,225,345
256,-46.337645762860205,125,230
257,-46.39725693954429,235,295
258,-46.39447514459832,45,40
259,-46.3696758970909,340,150
260,-46.3893688122275,220,145
261,-46.39376732669788,275,230
262,-46.39049113619083,295,140
263,-46.41137673784371,280,155
264,-46.40164800655768,185,150
265,-46.36259259045724,65,305
266,-46.42904608036517,230,30
267,-46.39566812713721,30,75
268,-46.4092205524025,210,15
269,-46.33347924916134,125,300
270,-46.345569168632636,345,110
271,-46.441516801011204,235,70
272,-46.32291522836712,110,245
273,-46.41331753404776,55,65
274,-46.42463007183969,225,85
275,-46.38769656513918,205,340
276,-46.40801364010977,155,90
277,-46.38231679124081,90,45
278,-46.399160397193185,140,180
279,-46.42797175249652,155,65
280,-46.31932929958052,0,340
281,-46.368896829253714,110,100
282,-46.42411029847389,240,195
283,-46.32318530343835,20,340
284,-46.37502593476668,115,155
285,-46.36193333481006,25,135
286,-46.450934566616496,185,75
287,-46.37468932158052,180,355
288,-46.383886698296834,65,125
289,-46.38606910154496,215,140
290,-46.362739008142086,35,295
291,-46.4074248753619,145,80
292,-46.369763282826824,50,255
293,-46.381089275158246,155,110
294,-46.41092901362967,310,160
295,-46.344124270990875,20,315
296,-46.37125560515656,95,220
297,-46.37366118748335,80,230
298,-46.38192919985718,280,115
299,-46.317459951616655,355,355
300,-46.410932486182986,290,320
301,-46.37936757239109,30,35
302,-46.38972924306253,185,310
303,-46.31703749146166,125,255
304,-46.43078159912736,35,180
305,-46.392452735364,295,265
306,-46.34950008779086,20,125
307,-46.35615629760187,25,110
308,-46.36456415721116,135,145
309,-46.38914143551003,10,55
310,-46.384848769015065,85,140
311,-46.36288792251142,140,220
312,-46.443329062595666,225,40
313,-46.39372561879489,355,170
314,-46.33826980942277,35,5
315,-46.37561433909022,0,225
316,-46.41620191008238,330,190
317,-46.347328908763046,80,260
318,-46.371277406485405,220,245
319,-46.37319493424522,120,155
320,-46.43219869502721,265,195
321,-46.375071913180165,85,125
322,-46.39022525963364,285,0
323,-46.37734939787637,185,345
324,-46.37022656637086,115,45
325,-46.437441972886944,70,180
326,-46.42785648080414,290,205
327,-46.3560383138026,320,0
328,-46.372281628905995,240,250
329,-46.40566064963954,65,50
330,-46.41200646141195,95,180
331,-46.41749550717529,305,80
332,-46.37247004108892,170,285
333,-46.387803562357675,190,135
334,-46.3859058180125,10,220
335,-46.39582808009217,30,155
336,-46.363128337282234,120,105
337,-46.36103051515849,35,300
338,-46.43965763176013,290,60
339,-46.346720852108746,75,325
340,-46.38369088190066,275,135
341,-46.401281853778556,220,100
342,-46.44574588219345,175,75
343,-46.4045248616782,10,175
344,-46.41677545103025,205,95
345,-46.33698289463669,105,235
346,-46.39554535721666,200,305
347,-46.43660159853536,300,180
348,-46.38270717002953,240,275
349,-46.433815497148856,185,195
350,-46.373263519646315,130,155
351,-46.366068373593265,180,255
352,-46.38151772129308,295,130
353,-46.333091646801535,150,350
354,-46.438347957706384,295,180
355,-46.355778313172124,355,260
356,-46.393676787764406,200,320
357,-46.388062874194105,265,270
358,-46.33600358177668,150,340
359,-46.43869421439396,295,190
360,-46.3409382850281,345,120
361,-46.40093262300164,135,65
362,-46.35919866036292,110,135
363,-46.41747094666434,235,170
364,-46.37428041782985,20,235
365,-46.39533863550943,240,290
366,-46.36506521560946,350,235
367,-46.394094618777245,205,145
368,-46.40490983781322,280,280
369,-46.40086496110635,245,10
370,-46.39864815202631,210,220
371,-46.4049434012712,260,290
372,-46.39894685644404,230,155
373,-46.393514497156076,140,170
374,-46.39234214568384,245,345
375,-46.38508927843267,340,160
376,-46.435137465363795,70,175
377,-46.357804784928106,0,290
378,-46.33341422028255,145,260
379,-46.389995062581505,155,155
380,-46.423705762368996,165,190
381,-46.32562624390076,140,5
382,-46.36330973126715,115,105
383,-46.32364506400094,25,350
384,-46.3747687129289,25,145
385,-46.39633831836895,90,60
386,-46.42443693407736,320,185
387,-46.4191836889307,265,85
388,-46.4208662321204,235,25
389,-46.36292709718239,30,130
390,-46.387337109121205,45,35
391,-46.34044113668867,150,265
392,-46.38024619695162,215,130
393,-46.34572114199179,355,315
394,-46.43953393509233,290,55
395,-46.3690817037934,175,340
396,-46.37685048308256,165,15
397,-46.372724102780666,185,270
398,-46.35907458192142,60,315
399,-46.35872849490485,150,230
400,-46.440476096132414,280,65
401,-46.4037920030992,245,300
402,-46.3555659945429,330,130
403,-46.39252752369535,30,45
404,-46.385376908888446,160,220
