,constrained_energy,relaxed_energy,torsion_0,torsion_1,relaxed_torsion_0,relaxed_torsion_1
40,-36.74046184311413,-37.433914377414624,210,0,150,30
41,-36.786295285213015,-37.81720573466774,110,320,210,360
42,-36.83865711134101,-37.384612935159424,330,250,300,270
43,-36.80315901469635,-37.43393523450351,190,110,150,30
44,-36.773864649221565,-37.81720429152159,40,160,30,180
45,-36.82477339881933,-37.42469683292751,150,280,120,240
46,-36.87300242294563,-37.38462564949697,290,230,300,210
47,-36.882967036070255,-37.37743921275231,290,50,300,30
48,-36.81528652188007,-37.4339250729806,110,130,90,90
49,-36.73108056149303,-37.38461956731936,330,170,300,210
50,-36.830458903256385,-37.43390679086423,150,30,150,30
51,-36.73761535571879,-37.42885782913888,10,300,150,210
52,-36.72902951221832,-37.38462058786902,240,180,300,270
53,-36.812028943419136,-37.433936965423584,90,130,90,90
54,-36.71603314124343,-37.38457412845415,290,320,300,270
55,-36.7812862126338,-37.75873246478153,80,320,30,360
56,-36.83438028182502,-37.43392618324066,90,20,90,90
57,-36.716990005564554,-37.75873709355284,230,160,210,180
58,-36.80152688733321,-37.42887777867341,170,250,90,270
59,-36.8445430959936,-37.43393760572249,130,30,150,30
60,-36.783971477770876,-37.428845752338674,60,300,90,270
61,-36.81684081735824,-37.43393491508206,180,110,150,30
62,-36.770579956634236,-37.42888524594625,0,220,150,210
63,-36.85014682846139,-37.43393688362076,90,30,90,90
64,-36.77577892342836,-37.81719585432049,150,340,210,360
65,-36.77791065610663,-37.817196157865254,140,340,210,360
66,-36.70182484981132,-37.428888895461654,350,320,90,270
67,-36.75904233154267,-37.42879339352106,20,280,150,210
68,-36.82731287846974,-37.428781614174454,110,260,90,270
69,-36.788957935049694,-37.375125626350666,270,20,300,60
70,-36.78386808946405,-37.433936026594836,130,350,150,30
71,-36.87867985177758,-37.43393260782943,140,70,90,90
72,-36.734129795815505,-37.37743490231688,280,130,300,60
73,-36.70732883452615,-37.375319526143414,260,350,300,60
74,-36.76667830799127,-37.42888419961966,30,220,90,270
75,-36.86792249843819,-37.37744006106507,320,80,300,60
76,-36.68951480266378,-37.377444628713306,330,340,300,30
77,-36.87685670404764,-37.43392406739687,140,80,90,90
78,-36.755230154218054,-37.42889012650025,210,210,90,270
79,-36.7736278866432,-37.42888351678127,40,230,150,210
80,-36.85641794779005,-37.433931293404925,80,40,90,90
81,-36.78535560659088,-37.42888320597754,180,240,90,270
82,-36.788183033220264,-37.75873820209108,150,160,210,180
83,-36.76474850741056,-37.4288868276974,30,230,90,270
84,-36.75880920821123,-37.384610971412826,320,300,300,270
85,-36.79811348095524,-37.42419489907701,160,310,120,240
86,-36.80542798413285,-37.42815374594724,180,120,120,60
87,-36.8123441086108,-37.38462543368078,270,210,300,210
88,-36.77530660404753,-37.43393767193922,60,350,150,30
89,-36.790161108589416,-37.42887959818708,140,170,150,210
90,-36.72297987398318,-37.38450285450671,310,150,300,210
91,-36.76699443560614,-37.428890407470504,190,180,150,210
92,-36.82489169571119,-37.428831180925584,110,270,90,270
93,-36.74520783380032,-37.817207430835566,200,330,210,360
94,-36.75758894309547,-37.38462327218372,340,190,300,210
95,-36.80896883073132,-37.42888517313028,160,300,90,270
96,-36.71768592949306,-37.758735832503476,20,330,30,360
97,-36.83000695187505,-37.43393062018089,120,120,90,90
98,-36.76696848320685,-37.428889382344266,220,270,150,210
99,-36.853892493049926,-37.433806702344924,140,40,150,30
100,-36.69634396462183,-37.81720818389775,250,330,210,360
101,-36.78697436004981,-37.433936245180604,220,90,150,30
102,-36.84525237990755,-37.433928135819684,60,70,90,90
103,-36.77735615331284,-37.38047332059185,250,210,300,240
104,-36.861333416802466,-37.3804136709457,280,230,300,240
105,-36.80353247386543,-37.43393487309535,240,80,150,30
106,-36.800994474290434,-37.43393337105928,0,90,90,90
107,-36.7972743359675,-37.4338687057066,50,20,90,90
108,-36.78302563611456,-37.428891266342305,240,260,90,270
109,-36.76562440644017,-37.428889324368185,30,180,150,210
110,-36.79153171809318,-37.42884964396151,180,250,90,270
111,-36.801620231158665,-37.3774196346196,310,110,300,60
112,-36.82710262597078,-37.37741926907768,290,100,300,60
113,-36.79848739242891,-37.384538867378495,250,230,300,270
114,-36.882361164665184,-37.37724481042608,280,60,300,60
115,-36.83271158645894,-37.43390742134048,50,70,90,90
116,-36.81184001627608,-37.42887417858137,80,250,90,270
117,-36.81581769739822,-37.433928126421364,130,130,150,30
118,-36.8031549945525,-37.428888408827135,70,250,90,270
119,-36.79740856642195,-37.37743482628895,280,20,300,30
120,-36.72175909535929,-37.384590217001715,260,310,300,270
121,-36.83211146327355,-37.37736063578171,300,100,300,60
122,-36.8207841930909,-37.42883576578163,140,290,150,210
123,-36.75049194873765,-37.43393403255084,200,0,150,30
124,-36.77144234667878,-37.428884032463884,40,290,150,210
125,-36.747768880390424,-37.3774434157487,310,130,300,60
126,-36.79405859390576,-37.4288900087069,60,240,150,210
127,-36.78774038548505,-37.81720958889525,120,320,210,360
128,-36.77684735538534,-37.42888360707508,180,200,150,210
129,-36.82089201968412,-37.43375501438297,190,90,150,30
130,-36.774608497583614,-37.42889028979761,190,310,90,270
131,-36.788323071099825,-37.42832499741169,220,40,120,60
132,-36.78969413113899,-37.42827882970053,90,350,120,60
133,-36.708499508875576,-37.380212826937026,260,160,300,240
134,-36.81669678269759,-37.428881460210306,120,290,90,270
135,-36.75992595909091,-37.424626631381074,20,200,120,240
136,-36.72960719384463,-37.81718590336206,210,340,210,360
137,-36.80673758703705,-37.42884982608595,80,280,90,270
138,-36.84960968579014,-37.4339335844146,120,30,150,30
139,-36.77783055118769,-37.43392590064718,30,120,90,90
140,-36.750786692890586,-37.4288831656535,210,190,90,270
141,-36.70508403413575,-37.384623723281265,260,320,300,270
142,-36.82336986087452,-37.42429786032983,130,240,120,240
143,-36.724189134726885,-37.38461344531987,320,160,300,210
144,-36.73728678511213,-37.37722483747777,290,0,300,30
145,-36.78076689690778,-37.433934861813896,40,130,150,30
146,-36.753429944014556,-37.43368296680663,230,110,150,30
147,-36.73770219487312,-37.35254136632619,0,180,0,210
148,-36.800396677002055,-37.42463950287075,150,310,120,240
149,-36.84197182442546,-37.377442219604234,260,50,300,60
150,-36.73310479343823,-37.43388374529317,240,120,150,30
151,-36.81915525207975,-37.428883620208524,90,250,90,270
152,-36.87071176983625,-37.43393739272071,150,80,150,30
153,-36.74279469308041,-37.43391487689115,0,130,90,90
154,-36.79554394395859,-37.43393455435054,190,30,150,30
155,-36.78937255582363,-37.42886986882036,60,290,90,270
156,-36.792926363957775,-37.42451267454945,190,280,120,240
157,-36.81735065121444,-37.42887371476846,90,190,90,270
158,-36.77257858697587,-37.42828993279437,50,0,120,60
159,-36.80153604239294,-37.81720092847141,100,150,30,180
160,-36.780614068329754,-37.43382826277289,80,340,150,30
161,-36.781199846295976,-37.81720844792716,140,330,210,360
162,-36.818606015245905,-37.43392322910316,80,120,90,90
163,-36.766635194427266,-37.81720834293691,180,330,210,360
164,-36.79272964090674,-37.428888369866456,60,280,90,270
165,-36.813141750575454,-37.43393289164044,190,100,150,30
166,-36.82826454070067,-37.37738121715668,330,40,300,30
167,-36.8118426821886,-37.42888684591921,140,300,90,270
168,-36.77254011986267,-37.377377169387614,310,120,300,60
169,-36.72267083855718,-37.37743471276508,250,0,300,60
170,-36.78104805474547,-37.42889026206174,50,290,90,270
171,-36.72159048004781,-37.38462528029689,330,160,300,210
172,-36.82763060825411,-37.38430591778908,280,210,300,210
173,-36.80098508981311,-37.37744038899345,300,20,300,30
174,-36.75412149198769,-37.43390667503351,190,350,150,30
175,-36.89348776037957,-37.37740798443747,300,70,300,60
176,-36.8213931814669,-37.42869684982588,100,270,90,270
177,-36.829875435938675,-37.37741239123514,250,60,300,60
178,-36.774371900211975,-37.42888009735046,0,230,150,210
179,-36.76046096304324,-37.43393704366133,220,20,90,90
180,-36.71866311681964,-37.37744024733939,280,140,300,60
181,-36.79231612578019,-37.4288902679136,100,310,90,270
182,-36.820227442174996,-37.43393761736155,50,40,90,90
183,-36.82518749676862,-37.377437856360245,320,100,300,60
184,-36.84717831676849,-37.43393505967086,170,90,150,30
185,-36.85560981279232,-37.37744159424446,280,40,300,30
186,-36.81595158267274,-37.42863610078098,120,210,150,210
187,-36.79610591421388,-37.81720696369999,120,160,30,180
188,-36.80679427504697,-37.43393568911765,160,20,150,30
189,-36.7722031271102,-37.42888935671331,40,250,150,210
190,-36.83039573233057,-37.433936378846425,130,120,90,90
191,-36.71996037358136,-37.384616530813986,340,160,300,210
192,-36.79733814581053,-37.43393153027827,220,50,150,30
193,-36.764380851065425,-37.42888720076863,30,250,150,210
194,-36.78652523032818,-37.43393244052655,10,100,90,90
195,-36.80357589441553,-37.43393452693249,230,70,90,90
196,-36.773892503214825,-37.25998453187921,190,140,120,150
197,-36.76885493271857,-37.75873153343761,60,330,30,360
198,-36.73575134921114,-37.37743233398871,300,0,300,30
199,-36.79983279229063,-37.433935385627194,0,50,90,90
200,-36.85540702137973,-37.3774423364861,290,90,300,60
201,-36.82488933851718,-37.38437352701072,330,220,300,210
202,-36.72752300077465,-37.38461564946226,340,170,300,210
203,-36.75851987813826,-37.42888789017667,210,230,90,270
204,-36.788973706825715,-37.38461661808722,280,290,300,270
205,-36.87971657964465,-37.377441212651576,280,70,300,60
