,energy,torsion_0,torsion_1
18,-46.45770151973127,204.64764293381089,49.89203027139939
27,-46.442329036928044,270.0,49.89203027139939
15,-46.42721708486121,180.0,201.18847287477175
25,-46.415858812171024,204.64764293381089,210.0
22,-46.41410646430492,60.26958704511773,153.70799074359144
0,-46.41389373003605,61.83940289940395,153.568811414601
16,-46.413893651121526,61.839402891253656,153.56874906167297
5,-46.41389332702025,61.83949325085719,153.56874906167297
21,-46.41389329909586,61.839402891253656,153.5688114081943
24,-46.41375959123283,64.56978544501821,153.70799074359144
4,-46.41375872789959,64.57425555476506,153.70803322984318
3,-46.413619006267396,64.569762718767,153.60683880529663
6,-46.413617073782376,64.57425555476506,153.60683880529663
12,-46.413565845860006,64.569762718767,153.568811414601
26,-46.413486945617336,64.96715365079959,153.5688114081943
7,-46.40887019976495,61.83940289940395,150.0
29,-46.40653994704459,61.83949325085719,49.89203027139939
23,-46.40512350834368,180.0,153.7104573183639
11,-46.40481327715477,204.64764293381089,153.568811414601
20,-46.40338128624691,210.0,153.7104573183639
28,-46.39914252276205,64.96715365079959,90.0
14,-46.395625642309795,90.0,153.70803322984318
10,-46.39545760879079,90.0,153.5688114081943
19,-46.39354308666233,30.0,153.56874906167297
1,-46.38400488403366,150.0,153.60683880529663
2,-46.38339520482006,330.0,153.56874906167297
9,-46.38266724973673,64.57425555476506,120.0
17,-46.375585056911774,64.57425555476506,240.0
8,-46.363044397576374,61.83940289940395,270.0
13,-46.36141605522343,64.57425555476506,270.0
